"Names","Team","Season","Active_Inactive","Week","Game_Designation","Injury_Type","Position","Side of Ball"
"A.Q. Shipley","Arizona Cardinals",2017,"Active",6,"Healthy","None","C","Offense"
"A.Q. Shipley","Arizona Cardinals",2017,"Active",15,"Healthy","None","C","Offense"
"A.Q. Shipley","Arizona Cardinals",2017,"Active",3,"Healthy","None","C","Offense"
"A.Q. Shipley","Arizona Cardinals",2017,"Active",1,"Healthy","None","C","Offense"
"A.Q. Shipley","Arizona Cardinals",2017,"Active",16,"Healthy","None","C","Offense"
"A.Q. Shipley","Arizona Cardinals",2017,"Active",7,"Healthy","None","C","Offense"
"A.Q. Shipley","Arizona Cardinals",2017,"Active",5,"Healthy","None","C","Offense"
"A.Q. Shipley","Arizona Cardinals",2017,"Active",2,"Healthy","None","C","Offense"
"A.Q. Shipley","Arizona Cardinals",2017,"Active",11,"Questionable"," Shoulder","C","Offense"
"A.Q. Shipley","Arizona Cardinals",2017,"Active",17,"Healthy","None","C","Offense"
"A.Q. Shipley","Arizona Cardinals",2017,"Active",12,"Healthy","None","C","Offense"
"A.Q. Shipley","Arizona Cardinals",2017,"Active",9,"Healthy","None","C","Offense"
"A.Q. Shipley","Arizona Cardinals",2017,"Active",4,"Healthy","None","C","Offense"
"A.Q. Shipley","Arizona Cardinals",2017,"Active",10,"Healthy","None","C","Offense"
"A.Q. Shipley","Arizona Cardinals",2017,"Active",13,"Healthy","None","C","Offense"
"A.Q. Shipley","Arizona Cardinals",2017,"Active",14,"Healthy","None","C","Offense"
"Aaron Brewer","Arizona Cardinals",2017,"Active",2,"Healthy","None","LS","Special Teams"
"Aaron Brewer","Arizona Cardinals",2017,"Out",12,"Injured Reserve"," Hand","LS","Special Teams"
"Aaron Brewer","Arizona Cardinals",2017,"Out",6,"Injured Reserve"," Hand","LS","Special Teams"
"Aaron Brewer","Arizona Cardinals",2017,"Out",11,"Injured Reserve"," Hand","LS","Special Teams"
"Aaron Brewer","Arizona Cardinals",2017,"Out",13,"Injured Reserve"," Hand","LS","Special Teams"
"Aaron Brewer","Arizona Cardinals",2017,"Active",5,"Healthy","None","LS","Special Teams"
"Aaron Brewer","Arizona Cardinals",2017,"Active",1,"Healthy","None","LS","Special Teams"
"Aaron Brewer","Arizona Cardinals",2017,"Active",4,"Healthy","None","LS","Special Teams"
"Aaron Brewer","Arizona Cardinals",2017,"Active",15,"Healthy","None","LS","Special Teams"
"Aaron Brewer","Arizona Cardinals",2017,"Out",9,"Injured Reserve"," Hand","LS","Special Teams"
"Aaron Brewer","Arizona Cardinals",2017,"Active",3,"Healthy","None","LS","Special Teams"
