"Names","Team","Season","Active_Inactive","Week","Game_Designation","Injury_Type","Position","Side of Ball"
"Alani Fua","Arizona Cardinals",2015,"Active",17,"Probable"," Groin","OLB","Defense"
"Alani Fua","Arizona Cardinals",2015,"Active",10,"Healthy","None","OLB","Defense"
"Alani Fua","Arizona Cardinals",2015,"Active",13,"Healthy","None","OLB","Defense"
"Alani Fua","Arizona Cardinals",2015,"Active",7,"Healthy","None","OLB","Defense"
"Alani Fua","Arizona Cardinals",2015,"Active",12,"Healthy","None","OLB","Defense"
"Alani Fua","Arizona Cardinals",2015,"Active",1,"Healthy","None","OLB","Defense"
"Alani Fua","Arizona Cardinals",2015,"Active",4,"Healthy","None","OLB","Defense"
"Alani Fua","Arizona Cardinals",2015,"Active",15,"Healthy","None","OLB","Defense"
"Alani Fua","Arizona Cardinals",2015,"Active",6,"Healthy","None","OLB","Defense"
"Alani Fua","Arizona Cardinals",2015,"Active",14,"Healthy","None","OLB","Defense"
"Alani Fua","Arizona Cardinals",2015,"Active",3,"Healthy","None","OLB","Defense"
"Alani Fua","Arizona Cardinals",2015,"Active",11,"Healthy","None","OLB","Defense"
"Alani Fua","Arizona Cardinals",2015,"Active",8,"Healthy","None","OLB","Defense"
"Alani Fua","Arizona Cardinals",2015,"Active",20,"Healthy","None","OLB","Defense"
"Alani Fua","Arizona Cardinals",2015,"Active",5,"Probable"," Hamstring","OLB","Defense"
"Alani Fua","Arizona Cardinals",2015,"Active",19,"Healthy","None","OLB","Defense"
"Alani Fua","Arizona Cardinals",2015,"Active",16,"Healthy","None","OLB","Defense"
"Alani Fua","Arizona Cardinals",2015,"Active",2,"Healthy","None","OLB","Defense"
"Alex Okafor","Arizona Cardinals",2015,"Active",15,"Healthy","None","OLB","Defense"
"Alex Okafor","Arizona Cardinals",2015,"Active",12,"Healthy","None","OLB","Defense"
"Alex Okafor","Arizona Cardinals",2015,"Active",1,"Healthy","None","OLB","Defense"
"Alex Okafor","Arizona Cardinals",2015,"Active",14,"Healthy","None","OLB","Defense"
"Alex Okafor","Arizona Cardinals",2015,"Out",20,"Injured Reserve"," Toe","OLB","Defense"
"Alex Okafor","Arizona Cardinals",2015,"Active",16,"Healthy","None","OLB","Defense"
"Alex Okafor","Arizona Cardinals",2015,"Out",7,"Out"," Calf","OLB","Defense"
"Alex Okafor","Arizona Cardinals",2015,"Out",19,"Injured Reserve"," Toe","OLB","Defense"
"Alex Okafor","Arizona Cardinals",2015,"Active",4,"Probable"," Shoulder","OLB","Defense"
"Alex Okafor","Arizona Cardinals",2015,"Out",8,"Out"," Calf","OLB","Defense"
"Alex Okafor","Arizona Cardinals",2015,"Active",17,"Healthy","None","OLB","Defense"
"Alex Okafor","Arizona Cardinals",2015,"Active",10,"Probable"," Calf","OLB","Defense"
"Alex Okafor","Arizona Cardinals",2015,"Active",2,"Healthy","None","OLB","Defense"
"Alex Okafor","Arizona Cardinals",2015,"Active",13,"Healthy","None","OLB","Defense"
"Alex Okafor","Arizona Cardinals",2015,"Active",11,"Healthy","None","OLB","Defense"
"Alex Okafor","Arizona Cardinals",2015,"Active",5,"Healthy","None","OLB","Defense"
"Alex Okafor","Arizona Cardinals",2015,"Active",3,"Probable"," Shoulder","OLB","Defense"
"Alex Okafor","Arizona Cardinals",2015,"Out",6,"Out"," Calf","OLB","Defense"
"Andre Ellington","Arizona Cardinals",2015,"Out",13,"Out"," Toe","RB","Offense"
"Andre Ellington","Arizona Cardinals",2015,"Active",5,"Probable"," Knee","RB","Offense"
"Andre Ellington","Arizona Cardinals",2015,"Out",3,"Doubtful"," Knee","RB","Offense"
"Andre Ellington","Arizona Cardinals",2015,"Active",7,"Healthy","None","RB","Offense"
"Andre Ellington","Arizona Cardinals",2015,"Active",10,"Healthy","None","RB","Offense"
"Andre Ellington","Arizona Cardinals",2015,"Active",12,"Healthy","None","RB","Offense"
"Andre Ellington","Arizona Cardinals",2015,"Out",14,"Out"," Toe","RB","Offense"
"Andre Ellington","Arizona Cardinals",2015,"Active",8,"Healthy","None","RB","Offense"
"Andre Ellington","Arizona Cardinals",2015,"Out",15,"Questionable"," Toe","RB","Offense"
"Andre Ellington","Arizona Cardinals",2015,"Active",19,"Healthy","None","RB","Offense"
"Andre Ellington","Arizona Cardinals",2015,"Active",17,"Probable"," Toe","RB","Offense"
"Andre Ellington","Arizona Cardinals",2015,"Active",11,"Healthy","None","RB","Offense"
"Andre Ellington","Arizona Cardinals",2015,"Out",4,"Questionable"," Knee","RB","Offense"
"Andre Ellington","Arizona Cardinals",2015,"Active",1,"Healthy","None","RB","Offense"
"Andre Ellington","Arizona Cardinals",2015,"Active",6,"Healthy","None","RB","Offense"
"Andre Ellington","Arizona Cardinals",2015,"Active",16,"Questionable"," Toe","RB","Offense"
"Andre Ellington","Arizona Cardinals",2015,"Out",2,"Out"," Knee","RB","Offense"
"Andre Ellington","Arizona Cardinals",2015,"Active",20,"Healthy","None","RB","Offense"
"Brandon Person","Arizona Cardinals",2015,"Active",2,"Healthy","None","DB","Defense"
"Brandon Person","Arizona Cardinals",2015,"Active",16,"Healthy","None","DB","Defense"
"Brandon Person","Arizona Cardinals",2015,"Active",5,"Healthy","None","DB","Defense"
"Brandon Person","Arizona Cardinals",2015,"Active",14,"Healthy","None","DB","Defense"
"Brandon Person","Arizona Cardinals",2015,"Active",19,"Healthy","None","DB","Defense"
"Brandon Person","Arizona Cardinals",2015,"Active",15,"Healthy","None","DB","Defense"
"Brandon Person","Arizona Cardinals",2015,"Active",11,"Healthy","None","DB","Defense"
"Brandon Person","Arizona Cardinals",2015,"Active",1,"Healthy","None","DB","Defense"
"Brandon Person","Arizona Cardinals",2015,"Active",10,"Healthy","None","DB","Defense"
"Brandon Person","Arizona Cardinals",2015,"Active",3,"Healthy","None","DB","Defense"
"Brandon Person","Arizona Cardinals",2015,"Active",12,"Healthy","None","DB","Defense"
"Brandon Person","Arizona Cardinals",2015,"Active",13,"Healthy","None","DB","Defense"
"Brandon Person","Arizona Cardinals",2015,"Active",8,"Healthy","None","DB","Defense"
"Brandon Person","Arizona Cardinals",2015,"Out",20,"Injured Reserve"," Knee","DB","Defense"
"Brandon Person","Arizona Cardinals",2015,"Active",7,"Healthy","None","DB","Defense"
"Brandon Person","Arizona Cardinals",2015,"Active",4,"Healthy","None","DB","Defense"
"Brandon Person","Arizona Cardinals",2015,"Active",17,"Healthy","None","DB","Defense"
"Brandon Person","Arizona Cardinals",2015,"Active",6,"Healthy","None","DB","Defense"
"Brittan Golden","Arizona Cardinals",2015,"Active",14,"Healthy","None","WR","Offense"
"Brittan Golden","Arizona Cardinals",2015,"Active",12,"Healthy","None","WR","Offense"
"Brittan Golden","Arizona Cardinals",2015,"Active",7,"Probable"," Groin","WR","Offense"
"Brittan Golden","Arizona Cardinals",2015,"Active",13,"Healthy","None","WR","Offense"
"Brittan Golden","Arizona Cardinals",2015,"Active",10,"Probable"," Groin","WR","Offense"
"Brittan Golden","Arizona Cardinals",2015,"Active",1,"Healthy","None","WR","Offense"
"Brittan Golden","Arizona Cardinals",2015,"Active",19,"Healthy","None","WR","Offense"
"Brittan Golden","Arizona Cardinals",2015,"Active",8,"Questionable"," Groin","WR","Offense"
"Brittan Golden","Arizona Cardinals",2015,"Active",20,"Healthy","None","WR","Offense"
"Brittan Golden","Arizona Cardinals",2015,"Active",16,"Healthy","None","WR","Offense"
"Brittan Golden","Arizona Cardinals",2015,"Active",6,"Healthy","None","WR","Offense"
"Brittan Golden","Arizona Cardinals",2015,"Active",17,"Healthy","None","WR","Offense"
"Brittan Golden","Arizona Cardinals",2015,"Active",4,"Healthy","None","WR","Offense"
"Brittan Golden","Arizona Cardinals",2015,"Active",15,"Probable"," Concussion","WR","Offense"
"Brittan Golden","Arizona Cardinals",2015,"Active",2,"Healthy","None","WR","Offense"
"Brittan Golden","Arizona Cardinals",2015,"Active",3,"Healthy","None","WR","Offense"
"Brittan Golden","Arizona Cardinals",2015,"Active",11,"Healthy","None","WR","Offense"
"Brittan Golden","Arizona Cardinals",2015,"Active",5,"Healthy","None","WR","Offense"
"Calais Campbell","Arizona Cardinals",2015,"Active",5,"Healthy","None","DE","Defense"
