"Names","Team","Season","Active_Inactive","Week","Game_Designation","Injury_Type"
"Michael Adams","Arizona Cardinals","2011","Out",1,"Questionable"," Knee"
"Stewart Bradley","Arizona Cardinals","2011","Active",1,"Healthy","None"
"Jeremy Bridges","Arizona Cardinals","2011","Active",1,"Healthy","None"
"Crezdon Butler","Arizona Cardinals","2011","Active",1,"Healthy","None"
"Sean Considine","Arizona Cardinals","2011","Active",1,"Healthy","None"
"Darnell Dockett","Arizona Cardinals","2011","Active",1,"Healthy","None"
"Early Doucet","Arizona Cardinals","2011","Active",1,"Healthy","None"
"Jim Dray","Arizona Cardinals","2011","Out",1,"Out"," Pectoral"
"Nick Eason","Arizona Cardinals","2011","Active",1,"Healthy","None"
"Clark Haggans","Arizona Cardinals","2011","Active",1,"Healthy","None"
"Todd Heap","Arizona Cardinals","2011","Active",1,"Healthy","None"
"Rob Housler","Arizona Cardinals","2011","Active",1,"Probable"," Groin"
"A.J. Jefferson","Arizona Cardinals","2011","Active",1,"Healthy","None"
"Rashad Johnson","Arizona Cardinals","2011","Active",1,"Healthy","None"
"Brandon Keith","Arizona Cardinals","2011","Active",1,"Healthy","None"
"Kevin Kolb","Arizona Cardinals","2011","Active",1,"Healthy","None"
"Paris Lenon","Arizona Cardinals","2011","Active",1,"Healthy","None"
"Korey Lindsey","Arizona Cardinals","2011","Out",1,"Probable"," Illness"
"Patrick Peterson","Arizona Cardinals","2011","Active",1,"Healthy","None"
"Joey Porter ","Arizona Cardinals","2011","Active",1,"Healthy","None"
"Kerry Rhodes","Arizona Cardinals","2011","Active",1,"Healthy","None"
"DeMarco Sampson","Arizona Cardinals","2011","Active",1,"Probable"," Hamstring"
"Lyle Sendlein","Arizona Cardinals","2011","Active",1,"Healthy","None"
"Anthony Sherman","Arizona Cardinals","2011","Active",1,"Healthy","None"
"John Skelton","Arizona Cardinals","2011","Out",1,"Questionable"," Ankle"
"Alfonso Smith","Arizona Cardinals","2011","Out",1,"Probable"," Hamstring"
"LaRod Stephens-Howling","Arizona Cardinals","2011","Active",1,"Healthy","None"
"Chansi Stuckey","Arizona Cardinals","2011","Active",1,"Healthy","None"
"Greg Toler","Arizona Cardinals","2011","Out",1,"Injured Reserve"," Knee"
"Reggie Walker","Arizona Cardinals","2011","Active",1,"Healthy","None"
"Daryl Washington","Arizona Cardinals","2011","Active",1,"Healthy","None"
"Beanie Wells ","Arizona Cardinals","2011","Active",1,"Healthy","None"
"Dan Williams","Arizona Cardinals","2011","Active",1,"Healthy","None"
"Ryan Williams","Arizona Cardinals","2011","Out",1,"Injured Reserve"," Knee"
"Adrian Wilson","Arizona Cardinals","2011","Active",1,"Probable"," Bicep"
"Floyd Womack","Arizona Cardinals","2011","Out",1,"Injured Reserve"," Shoulder"
"Dave Zastudil","Arizona Cardinals","2011","Active",1,"Healthy","None"
"Michael Adams","Arizona Cardinals","2011","Active",2,"Healthy","None"
"Stewart Bradley","Arizona Cardinals","2011","Active",2,"Healthy","None"
"Jeremy Bridges","Arizona Cardinals","2011","Active",2,"Healthy","None"
"Crezdon Butler","Arizona Cardinals","2011","Out",2,"Out"," Ankle"
"Sean Considine","Arizona Cardinals","2011","Active",2,"Healthy","None"
"Darnell Dockett","Arizona Cardinals","2011","Active",2,"Healthy","None"
"Early Doucet","Arizona Cardinals","2011","Active",2,"Healthy","None"
"Jim Dray","Arizona Cardinals","2011","Out",2,"Doubtful"," Pectoral"
"Nick Eason","Arizona Cardinals","2011","Active",2,"Healthy","None"
"Clark Haggans","Arizona Cardinals","2011","Active",2,"Healthy","None"
"Todd Heap","Arizona Cardinals","2011","Active",2,"Healthy","None"
"Rob Housler","Arizona Cardinals","2011","Active",2,"Healthy","None"
"A.J. Jefferson","Arizona Cardinals","2011","Active",2,"Healthy","None"
"Rashad Johnson","Arizona Cardinals","2011","Active",2,"Healthy","None"
"Brandon Keith","Arizona Cardinals","2011","Active",2,"Healthy","None"
"Kevin Kolb","Arizona Cardinals","2011","Active",2,"Healthy","None"
"Paris Lenon","Arizona Cardinals","2011","Active",2,"Healthy","None"
"Korey Lindsey","Arizona Cardinals","2011","Active",2,"Healthy","None"
"Patrick Peterson","Arizona Cardinals","2011","Active",2,"Healthy","None"
"Joey Porter ","Arizona Cardinals","2011","Active",2,"Probable"," Knee"
