"Names","Team","Season","Active_Inactive","Week","Game_Designation","Injury_Type","Position","Side of Ball"
"Alameda Ta'amu","Arizona Cardinals",2013,"Active",16,"Healthy","None","NT","Defense"
"Alameda Ta'amu","Arizona Cardinals",2013,"Active",15,"Healthy","None","NT","Defense"
"Alameda Ta'amu","Arizona Cardinals",2013,"Active",6,"Healthy","None","NT","Defense"
"Alameda Ta'amu","Arizona Cardinals",2013,"Active",8,"Probable","Hip","NT","Defense"
"Alameda Ta'amu","Arizona Cardinals",2013,"Active",1,"Healthy","None","NT","Defense"
"Alameda Ta'amu","Arizona Cardinals",2013,"Active",7,"Healthy","None","NT","Defense"
"Alameda Ta'amu","Arizona Cardinals",2013,"Active",17,"Healthy","None","NT","Defense"
"Alameda Ta'amu","Arizona Cardinals",2013,"Active",2,"Healthy","None","NT","Defense"
"Alameda Ta'amu","Arizona Cardinals",2013,"Active",14,"Healthy","None","NT","Defense"
"Alameda Ta'amu","Arizona Cardinals",2013,"Active",5,"Healthy","None","NT","Defense"
"Alameda Ta'amu","Arizona Cardinals",2013,"Active",11,"Healthy","None","NT","Defense"
"Alameda Ta'amu","Arizona Cardinals",2013,"Active",12,"Healthy","None","NT","Defense"
"Alameda Ta'amu","Arizona Cardinals",2013,"Active",10,"Healthy","None","NT","Defense"
"Alameda Ta'amu","Arizona Cardinals",2013,"Active",4,"Healthy","None","NT","Defense"
"Alameda Ta'amu","Arizona Cardinals",2013,"Active",13,"Healthy","None","NT","Defense"
"Alameda Ta'amu","Arizona Cardinals",2013,"Active",3,"Healthy","None","NT","Defense"
"Alex Okafor","Arizona Cardinals",2013,"Out",16,"Injured Reserve","Biceps","LB","Defense"
"Alex Okafor","Arizona Cardinals",2013,"Out",5,"Injured Reserve","Biceps","LB","Defense"
"Alex Okafor","Arizona Cardinals",2013,"Out",11,"Injured Reserve","Biceps","LB","Defense"
"Alex Okafor","Arizona Cardinals",2013,"Out",6,"Injured Reserve","Biceps","LB","Defense"
"Alex Okafor","Arizona Cardinals",2013,"Active",2,"Healthy","None","LB","Defense"
"Alex Okafor","Arizona Cardinals",2013,"Out",15,"Injured Reserve","Biceps","LB","Defense"
"Alex Okafor","Arizona Cardinals",2013,"Out",10,"Injured Reserve","Biceps","LB","Defense"
"Alex Okafor","Arizona Cardinals",2013,"Out",13,"Injured Reserve","Biceps","LB","Defense"
"Alex Okafor","Arizona Cardinals",2013,"Out",8,"Injured Reserve","Biceps","LB","Defense"
"Alex Okafor","Arizona Cardinals",2013,"Active",3,"Healthy","None","LB","Defense"
"Alex Okafor","Arizona Cardinals",2013,"Out",12,"Injured Reserve","Biceps","LB","Defense"
"Alex Okafor","Arizona Cardinals",2013,"Active",1,"Healthy","None","LB","Defense"
"Alex Okafor","Arizona Cardinals",2013,"Out",17,"Injured Reserve","Biceps","LB","Defense"
"Alex Okafor","Arizona Cardinals",2013,"Out",4,"Out","Biceps","LB","Defense"
"Alex Okafor","Arizona Cardinals",2013,"Out",14,"Injured Reserve","Biceps","LB","Defense"
"Alex Okafor","Arizona Cardinals",2013,"Out",7,"Injured Reserve","Biceps","LB","Defense"
"Alfonso Smith","Arizona Cardinals",2013,"Active",4,"Healthy","None","RB","Offense"
"Alfonso Smith","Arizona Cardinals",2013,"Active",5,"Healthy","None","RB","Offense"
"Alfonso Smith","Arizona Cardinals",2013,"Active",8,"Probable","Hamstring","RB","Offense"
"Alfonso Smith","Arizona Cardinals",2013,"Active",15,"Healthy","None","RB","Offense"
"Alfonso Smith","Arizona Cardinals",2013,"Active",7,"Healthy","None","RB","Offense"
"Alfonso Smith","Arizona Cardinals",2013,"Active",16,"Healthy","None","RB","Offense"
"Alfonso Smith","Arizona Cardinals",2013,"Active",11,"Healthy","None","RB","Offense"
"Alfonso Smith","Arizona Cardinals",2013,"Active",6,"Healthy","None","RB","Offense"
"Alfonso Smith","Arizona Cardinals",2013,"Active",3,"Healthy","None","RB","Offense"
"Alfonso Smith","Arizona Cardinals",2013,"Active",12,"Healthy","None","RB","Offense"
"Alfonso Smith","Arizona Cardinals",2013,"Active",10,"Healthy","None","RB","Offense"
"Alfonso Smith","Arizona Cardinals",2013,"Active",14,"Healthy","None","RB","Offense"
"Alfonso Smith","Arizona Cardinals",2013,"Active",1,"Healthy","None","RB","Offense"
"Alfonso Smith","Arizona Cardinals",2013,"Active",17,"Healthy","None","RB","Offense"
"Alfonso Smith","Arizona Cardinals",2013,"Active",13,"Probable","Ankle","RB","Offense"
"Alfonso Smith","Arizona Cardinals",2013,"Active",2,"Healthy","None","RB","Offense"
"Andre Ellington","Arizona Cardinals",2013,"Active",16,"Probable","Thigh","RB","Offense"
"Andre Ellington","Arizona Cardinals",2013,"Active",12,"Healthy","None","RB","Offense"
"Andre Ellington","Arizona Cardinals",2013,"Active",6,"Healthy","None","RB","Offense"
"Andre Ellington","Arizona Cardinals",2013,"Active",3,"Healthy","None","RB","Offense"
"Andre Ellington","Arizona Cardinals",2013,"Active",10,"Healthy","None","RB","Offense"
"Andre Ellington","Arizona Cardinals",2013,"Active",11,"Healthy","None","RB","Offense"
"Andre Ellington","Arizona Cardinals",2013,"Active",4,"Healthy","None","RB","Offense"
"Andre Ellington","Arizona Cardinals",2013,"Active",17,"Healthy","None","RB","Offense"
"Andre Ellington","Arizona Cardinals",2013,"Active",7,"Healthy","None","RB","Offense"
