"Names","Team","Season","Active_Inactive","Week","Game_Designation","Injury_Type","Position","Side of Ball"
"A.J. Jefferson","Arizona Cardinals",2011,"Active",2,"Healthy","None","CB","Defense"
"A.J. Jefferson","Arizona Cardinals",2011,"Active",16,"Healthy","None","CB","Defense"
"A.J. Jefferson","Arizona Cardinals",2011,"Active",3,"Healthy","None","CB","Defense"
"A.J. Jefferson","Arizona Cardinals",2011,"Active",14,"Healthy","None","CB","Defense"
"A.J. Jefferson","Arizona Cardinals",2011,"Active",9,"Healthy","None","CB","Defense"
"A.J. Jefferson","Arizona Cardinals",2011,"Active",15,"Healthy","None","CB","Defense"
"A.J. Jefferson","Arizona Cardinals",2011,"Active",12,"Healthy","None","CB","Defense"
"A.J. Jefferson","Arizona Cardinals",2011,"Active",10,"Healthy","None","CB","Defense"
"A.J. Jefferson","Arizona Cardinals",2011,"Active",7,"Healthy","None","CB","Defense"
"A.J. Jefferson","Arizona Cardinals",2011,"Active",11,"Healthy","None","CB","Defense"
"A.J. Jefferson","Arizona Cardinals",2011,"Active",8,"Healthy","None","CB","Defense"
"A.J. Jefferson","Arizona Cardinals",2011,"Active",5,"Probable","Ankle","CB","Defense"
"A.J. Jefferson","Arizona Cardinals",2011,"Active",1,"Healthy","None","CB","Defense"
"A.J. Jefferson","Arizona Cardinals",2011,"Active",17,"Healthy","None","CB","Defense"
"A.J. Jefferson","Arizona Cardinals",2011,"Active",13,"Healthy","None","CB","Defense"
"A.J. Jefferson","Arizona Cardinals",2011,"Active",4,"Healthy","None","CB","Defense"
"Adrian Wilson","Arizona Cardinals",2011,"Active",1,"Probable","Bicep","SS","Defense"
"Adrian Wilson","Arizona Cardinals",2011,"Active",7,"Healthy","None","SS","Defense"
"Adrian Wilson","Arizona Cardinals",2011,"Active",14,"Healthy","None","SS","Defense"
"Adrian Wilson","Arizona Cardinals",2011,"Active",10,"Healthy","None","SS","Defense"
"Adrian Wilson","Arizona Cardinals",2011,"Active",4,"Healthy","None","SS","Defense"
"Adrian Wilson","Arizona Cardinals",2011,"Active",16,"Healthy","None","SS","Defense"
"Adrian Wilson","Arizona Cardinals",2011,"Active",2,"Healthy","None","SS","Defense"
"Adrian Wilson","Arizona Cardinals",2011,"Active",5,"Healthy","None","SS","Defense"
"Adrian Wilson","Arizona Cardinals",2011,"Active",12,"Healthy","None","SS","Defense"
"Adrian Wilson","Arizona Cardinals",2011,"Active",11,"Healthy","None","SS","Defense"
"Adrian Wilson","Arizona Cardinals",2011,"Active",17,"Healthy","None","SS","Defense"
"Adrian Wilson","Arizona Cardinals",2011,"Active",3,"Healthy","None","SS","Defense"
"Adrian Wilson","Arizona Cardinals",2011,"Active",9,"Healthy","None","SS","Defense"
"Adrian Wilson","Arizona Cardinals",2011,"Active",13,"Healthy","None","SS","Defense"
"Adrian Wilson","Arizona Cardinals",2011,"Active",8,"Healthy","None","SS","Defense"
"Adrian Wilson","Arizona Cardinals",2011,"Active",15,"Healthy","None","SS","Defense"
"Alfonso Smith","Arizona Cardinals",2011,"Active",11,"Healthy","None","RB","Offense"
"Alfonso Smith","Arizona Cardinals",2011,"Active",13,"Healthy","None","RB","Offense"
"Alfonso Smith","Arizona Cardinals",2011,"Active",12,"Healthy","None","RB","Offense"
"Alfonso Smith","Arizona Cardinals",2011,"Active",7,"Healthy","None","RB","Offense"
"Alfonso Smith","Arizona Cardinals",2011,"Active",14,"Healthy","None","RB","Offense"
"Alfonso Smith","Arizona Cardinals",2011,"Active",16,"Probable","Back","RB","Offense"
"Alfonso Smith","Arizona Cardinals",2011,"Active",2,"Healthy","None","RB","Offense"
"Alfonso Smith","Arizona Cardinals",2011,"Active",4,"Healthy","None","RB","Offense"
"Alfonso Smith","Arizona Cardinals",2011,"Active",17,"Healthy","None","RB","Offense"
"Alfonso Smith","Arizona Cardinals",2011,"Active",10,"Healthy","None","RB","Offense"
"Alfonso Smith","Arizona Cardinals",2011,"Active",5,"Healthy","None","RB","Offense"
"Alfonso Smith","Arizona Cardinals",2011,"Active",9,"Healthy","None","RB","Offense"
"Alfonso Smith","Arizona Cardinals",2011,"Active",8,"Healthy","None","RB","Offense"
"Alfonso Smith","Arizona Cardinals",2011,"Active",3,"Healthy","None","RB","Offense"
"Alfonso Smith","Arizona Cardinals",2011,"Active",15,"Healthy","None","RB","Offense"
"Alfonso Smith","Arizona Cardinals",2011,"Out",1,"Probable","Hamstring","RB","Offense"
"Anthony Sherman","Arizona Cardinals",2011,"Active",11,"Probable","Ankle","FB","Offense"
"Anthony Sherman","Arizona Cardinals",2011,"Active",7,"Healthy","None","FB","Offense"
"Anthony Sherman","Arizona Cardinals",2011,"Active",13,"Healthy","None","FB","Offense"
"Anthony Sherman","Arizona Cardinals",2011,"Out",9,"Out","Ankle","FB","Offense"
"Anthony Sherman","Arizona Cardinals",2011,"Active",8,"Healthy","None","FB","Offense"
"Anthony Sherman","Arizona Cardinals",2011,"Active",5,"Healthy","None","FB","Offense"
"Anthony Sherman","Arizona Cardinals",2011,"Active",3,"Healthy","None","FB","Offense"
"Anthony Sherman","Arizona Cardinals",2011,"Active",16,"Healthy","None","FB","Offense"
"Anthony Sherman","Arizona Cardinals",2011,"Active",1,"Healthy","None","FB","Offense"
"Anthony Sherman","Arizona Cardinals",2011,"Active",4,"Healthy","None","FB","Offense"
"Anthony Sherman","Arizona Cardinals",2011,"Active",12,"Healthy","None","FB","Offense"
"Anthony Sherman","Arizona Cardinals",2011,"Active",14,"Healthy","None","FB","Offense"
"Anthony Sherman","Arizona Cardinals",2011,"Active",17,"Healthy","None","FB","Offense"
"Anthony Sherman","Arizona Cardinals",2011,"Active",15,"Healthy","None","FB","Offense"
"Anthony Sherman","Arizona Cardinals",2011,"Active",10,"Probable","Ankle","FB","Offense"
"Anthony Sherman","Arizona Cardinals",2011,"Active",2,"Healthy","None","FB","Offense"
"Beanie Wells","Arizona Cardinals",2011,"Active",9,"Probable","Knee","RB","Offense"
"Beanie Wells","Arizona Cardinals",2011,"Active",4,"Probable","Hamstring","RB","Offense"
"Beanie Wells","Arizona Cardinals",2011,"Active",1,"Healthy","None","RB","Offense"
"Beanie Wells","Arizona Cardinals",2011,"Active",16,"Probable","Knee","RB","Offense"
"Beanie Wells","Arizona Cardinals",2011,"Active",17,"Healthy","None","RB","Offense"
"Beanie Wells","Arizona Cardinals",2011,"Active",11,"Probable","Knee","RB","Offense"
"Beanie Wells","Arizona Cardinals",2011,"Active",2,"Healthy","None","RB","Offense"
"Beanie Wells","Arizona Cardinals",2011,"Active",12,"Probable","Knee","RB","Offense"
"Beanie Wells","Arizona Cardinals",2011,"Active",8,"Healthy","None","RB","Offense"
"Beanie Wells","Arizona Cardinals",2011,"Active",15,"Probable","Knee","RB","Offense"
"Beanie Wells","Arizona Cardinals",2011,"Active",14,"Probable","Knee/Thumb/Hamstring","RB","Offense"
"Beanie Wells","Arizona Cardinals",2011,"Out",3,"Out","Hamstring","RB","Offense"
"Beanie Wells","Arizona Cardinals",2011,"Active",13,"Probable","Knee","RB","Offense"
"Beanie Wells","Arizona Cardinals",2011,"Active",5,"Questionable","Hamstring","RB","Offense"
"Beanie Wells","Arizona Cardinals",2011,"Active",7,"Healthy","None","RB","Offense"
"Beanie Wells","Arizona Cardinals",2011,"Active",10,"Probable","Knee","RB","Offense"
"Brandon Keith","Arizona Cardinals",2011,"Active",15,"Probable","Ankle","OT","Offense"
"Brandon Keith","Arizona Cardinals",2011,"Out",17,"Injured Reserve","Ankle","OT","Offense"
"Brandon Keith","Arizona Cardinals",2011,"Out",16,"Out","Ankle","OT","Offense"
"Brandon Keith","Arizona Cardinals",2011,"Active",2,"Healthy","None","OT","Offense"
"Brandon Keith","Arizona Cardinals",2011,"Active",10,"Healthy","None","OT","Offense"
"Brandon Keith","Arizona Cardinals",2011,"Active",14,"Healthy","None","OT","Offense"
"Brandon Keith","Arizona Cardinals",2011,"Active",12,"Probable","Head","OT","Offense"
"Brandon Keith","Arizona Cardinals",2011,"Active",4,"Healthy","None","OT","Offense"
"Brandon Keith","Arizona Cardinals",2011,"Out",5,"Probable","Knee","OT","Offense"
"Brandon Keith","Arizona Cardinals",2011,"Active",13,"Healthy","None","OT","Offense"
"Brandon Keith","Arizona Cardinals",2011,"Active",3,"Healthy","None","OT","Offense"
"Brandon Keith","Arizona Cardinals",2011,"Active",9,"Healthy","None","OT","Offense"
"Brandon Keith","Arizona Cardinals",2011,"Active",8,"Healthy","None","OT","Offense"
"Brandon Keith","Arizona Cardinals",2011,"Active",1,"Healthy","None","OT","Offense"
"Brandon Keith","Arizona Cardinals",2011,"Active",11,"Probable","Knee","OT","Offense"
"Brandon Keith","Arizona Cardinals",2011,"Active",7,"Healthy","None","OT","Offense"
"Chansi Stuckey","Arizona Cardinals",2011,"Active",8,"Healthy","None","WR","Offense"
"Chansi Stuckey","Arizona Cardinals",2011,"Active",12,"Healthy","None","WR","Offense"
"Chansi Stuckey","Arizona Cardinals",2011,"Out",5,"Probable","Hamstring","WR","Offense"
"Chansi Stuckey","Arizona Cardinals",2011,"Active",11,"Healthy","None","WR","Offense"
"Chansi Stuckey","Arizona Cardinals",2011,"Active",14,"Healthy","None","WR","Offense"
"Chansi Stuckey","Arizona Cardinals",2011,"Active",17,"Healthy","None","WR","Offense"
"Chansi Stuckey","Arizona Cardinals",2011,"Active",1,"Healthy","None","WR","Offense"
"Chansi Stuckey","Arizona Cardinals",2011,"Active",7,"Healthy","None","WR","Offense"
"Chansi Stuckey","Arizona Cardinals",2011,"Active",13,"Healthy","None","WR","Offense"
"Chansi Stuckey","Arizona Cardinals",2011,"Out",4,"Out","Hamstring","WR","Offense"
"Chansi Stuckey","Arizona Cardinals",2011,"Active",10,"Healthy","None","WR","Offense"
"Chansi Stuckey","Arizona Cardinals",2011,"Active",15,"Healthy","None","WR","Offense"
"Chansi Stuckey","Arizona Cardinals",2011,"Out",3,"Out","Hamstring","WR","Offense"
"Chansi Stuckey","Arizona Cardinals",2011,"Active",16,"Healthy","None","WR","Offense"
"Chansi Stuckey","Arizona Cardinals",2011,"Active",9,"Healthy","None","WR","Offense"
"Chansi Stuckey","Arizona Cardinals",2011,"Active",2,"Healthy","None","WR","Offense"
"Clark Haggans","Arizona Cardinals",2011,"Active",3,"Healthy","None","OLB","Defense"
"Clark Haggans","Arizona Cardinals",2011,"Active",10,"Healthy","None","OLB","Defense"
"Clark Haggans","Arizona Cardinals",2011,"Active",11,"Healthy","None","OLB","Defense"
"Clark Haggans","Arizona Cardinals",2011,"Active",7,"Healthy","None","OLB","Defense"
"Clark Haggans","Arizona Cardinals",2011,"Active",15,"Probable","Hamstring","OLB","Defense"
"Clark Haggans","Arizona Cardinals",2011,"Active",8,"Healthy","None","OLB","Defense"
"Clark Haggans","Arizona Cardinals",2011,"Active",1,"Healthy","None","OLB","Defense"
"Clark Haggans","Arizona Cardinals",2011,"Active",2,"Healthy","None","OLB","Defense"
"Clark Haggans","Arizona Cardinals",2011,"Active",14,"Healthy","None","OLB","Defense"
"Clark Haggans","Arizona Cardinals",2011,"Active",17,"Healthy","None","OLB","Defense"
"Clark Haggans","Arizona Cardinals",2011,"Active",9,"Healthy","None","OLB","Defense"
"Clark Haggans","Arizona Cardinals",2011,"Active",13,"Healthy","None","OLB","Defense"
"Clark Haggans","Arizona Cardinals",2011,"Active",12,"Healthy","None","OLB","Defense"
"Clark Haggans","Arizona Cardinals",2011,"Active",5,"Healthy","None","OLB","Defense"
"Clark Haggans","Arizona Cardinals",2011,"Active",16,"Healthy","None","OLB","Defense"
"Clark Haggans","Arizona Cardinals",2011,"Active",4,"Healthy","None","OLB","Defense"
"Crezdon Butler","Arizona Cardinals",2011,"Out",10,"Injured Reserve","Ankle","CB","Defense"
"Crezdon Butler","Arizona Cardinals",2011,"Out",5,"Injured Reserve","Ankle","CB","Defense"
"Crezdon Butler","Arizona Cardinals",2011,"Out",9,"Injured Reserve","Ankle","CB","Defense"
"Crezdon Butler","Arizona Cardinals",2011,"Out",14,"Injured Reserve","Ankle","CB","Defense"
"Crezdon Butler","Arizona Cardinals",2011,"Out",8,"Injured Reserve","Ankle","CB","Defense"
"Crezdon Butler","Arizona Cardinals",2011,"Out",17,"Injured Reserve","Ankle","CB","Defense"
"Crezdon Butler","Arizona Cardinals",2011,"Out",13,"Injured Reserve","Ankle","CB","Defense"
"Crezdon Butler","Arizona Cardinals",2011,"Out",15,"Injured Reserve","Ankle","CB","Defense"
"Crezdon Butler","Arizona Cardinals",2011,"Out",4,"Injured Reserve","Ankle","CB","Defense"
"Crezdon Butler","Arizona Cardinals",2011,"Out",3,"Injured Reserve","Ankle","CB","Defense"
"Crezdon Butler","Arizona Cardinals",2011,"Out",7,"Injured Reserve","Ankle","CB","Defense"
"Crezdon Butler","Arizona Cardinals",2011,"Out",12,"Injured Reserve","Ankle","CB","Defense"
"Crezdon Butler","Arizona Cardinals",2011,"Out",2,"Out","Ankle","CB","Defense"
"Crezdon Butler","Arizona Cardinals",2011,"Out",11,"Injured Reserve","Ankle","CB","Defense"
"Crezdon Butler","Arizona Cardinals",2011,"Out",16,"Injured Reserve","Ankle","CB","Defense"
"Crezdon Butler","Arizona Cardinals",2011,"Active",1,"Healthy","None","CB","Defense"
"Dan Williams","Arizona Cardinals",2011,"Active",1,"Healthy","None","NT","Defense"
"Dan Williams","Arizona Cardinals",2011,"Active",4,"Healthy","None","NT","Defense"
"Dan Williams","Arizona Cardinals",2011,"Active",10,"Healthy","None","NT","Defense"
"Dan Williams","Arizona Cardinals",2011,"Out",13,"Injured Reserve","Arm","NT","Defense"
"Dan Williams","Arizona Cardinals",2011,"Out",15,"Injured Reserve","Arm","NT","Defense"
"Dan Williams","Arizona Cardinals",2011,"Active",7,"Healthy","None","NT","Defense"
"Dan Williams","Arizona Cardinals",2011,"Active",5,"Healthy","None","NT","Defense"
"Dan Williams","Arizona Cardinals",2011,"Active",11,"Healthy","None","NT","Defense"
"Dan Williams","Arizona Cardinals",2011,"Active",3,"Healthy","None","NT","Defense"
