"Names","Team","Season","Active_Inactive","Week","Game_Designation","Injury_Type"
"Robert Alford","Arizona Cardinals","2019","Out",1,"Injured Reserve","None"
"Zach Allen","Arizona Cardinals","2019","Active",1,"Healthy","None"
"Tramaine Brock ","Arizona Cardinals","2019","Active",1,"Healthy","None"
"Miles Brown","Arizona Cardinals","2019","Active",1,"Healthy","None"
"Jonathan Bullard","Arizona Cardinals","2019","Active",1,"Healthy","None"
"Hakeem Butler","Arizona Cardinals","2019","Out",1,"Injured Reserve","None"
"Damiere Byrd ","Arizona Cardinals","2019","Active",1,"Healthy","None"
"Charles Clay","Arizona Cardinals","2019","Active",1,"Healthy","None"
"Darrell Daniels","Arizona Cardinals","2019","Active",1,"Healthy","None"
"Chase Edmonds","Arizona Cardinals","2019","Active",1,"Healthy","None"
"D.J. Foster ","Arizona Cardinals","2019","Active",1,"Healthy","None"
"Lamont Gaillard","Arizona Cardinals","2019","Out",1,"Out"," Knee"
"Max Garcia","Arizona Cardinals","2019","Out",1,"Physically Unable to Perform","None"
"Dennis Gardeck","Arizona Cardinals","2019","Active",1,"Healthy","None"
"Marcus Gilbert","Arizona Cardinals","2019","Out",1,"Out"," Knee"
"Rodney Gunter","Arizona Cardinals","2019","Active",1,"Healthy","None"
"Jordan Hicks","Arizona Cardinals","2019","Active",1,"Healthy","None"
"Andy Isabella","Arizona Cardinals","2019","Active",1,"Healthy","None"
"David Johnson","Arizona Cardinals","2019","Active",1,"Healthy","None"
"Chris Jones","Arizona Cardinals","2019","Active",1,"Healthy","None"
"Zach Kerr ","Arizona Cardinals","2019","Active",1,"Healthy","None"
"Christian Kirk","Arizona Cardinals","2019","Active",1,"Healthy","None"
"Andy Lee ","Arizona Cardinals","2019","Active",1,"Healthy","None"
"Clinton McDonald","Arizona Cardinals","2019","Active",1,"Healthy","None"
"Joshua Miles","Arizona Cardinals","2019","Active",1,"Healthy","None"
"Jordan Mills","Arizona Cardinals","2019","Active",1,"Healthy","None"
"Byron Murphy","Arizona Cardinals","2019","Active",1,"Healthy","None"
"Justin Murray","Arizona Cardinals","2019","Active",1,"Healthy","None"
"Kyler Murray ","Arizona Cardinals","2019","Active",1,"Healthy","None"
"Rees Odhiambo","Arizona Cardinals","2019","Out",1,"Injured Reserve","None"
