"Names","Team","Season","Active_Inactive","Week","Game_Designation","Injury_Type"
"Michael Adams","Arizona Cardinals","2009","Active",1,"Healthy","None"
"Jason Banks","Arizona Cardinals","2009","Active",1,"Healthy","None"
"Bertrand Berry ","Arizona Cardinals","2009","Active",1,"Healthy","None"
"Anquan Boldin","Arizona Cardinals","2009","Active",1,"Probable"," Hamstring"
"Alan Branch","Arizona Cardinals","2009","Active",1,"Healthy","None"
"Steve Breaston","Arizona Cardinals","2009","Out",1,"Out"," Knee"
"Cody Brown","Arizona Cardinals","2009","Out",1,"Injured Reserve"," Wrist"
"Levi Brown","Arizona Cardinals","2009","Active",1,"Healthy","None"
"Calais Campbell","Arizona Cardinals","2009","Active",1,"Healthy","None"
"Karlos Dansby","Arizona Cardinals","2009","Active",1,"Healthy","None"
"Will Davis ","Arizona Cardinals","2009","Active",1,"Healthy","None"
"Darnell Dockett","Arizona Cardinals","2009","Active",1,"Healthy","None"
"Early Doucet","Arizona Cardinals","2009","Out",1,"Out"," Ribs"
"Larry Fitzgerald","Arizona Cardinals","2009","Active",1,"Healthy","None"
"Mike Gandy","Arizona Cardinals","2009","Active",1,"Healthy","None"
"Ben Graham","Arizona Cardinals","2009","Active",1,"Healthy","None"
"Justin Green","Arizona Cardinals","2009","Out",1,"Injured Reserve"," Knee"
"Clark Haggans","Arizona Cardinals","2009","Active",1,"Healthy","None"
"Gerald Hayes","Arizona Cardinals","2009","Active",1,"Healthy","None"
"Ali Highsmith","Arizona Cardinals","2009","Active",1,"Healthy","None"
"Tim Hightower","Arizona Cardinals","2009","Active",1,"Healthy","None"
"Kenny Iwebema","Arizona Cardinals","2009","Active",1,"Healthy","None"
"Herman Johnson","Arizona Cardinals","2009","Active",1,"Healthy","None"
"Rashad Johnson","Arizona Cardinals","2009","Active",1,"Healthy","None"
"Dan Kreider","Arizona Cardinals","2009","Active",1,"Healthy","None"
"Deuce Lutui","Arizona Cardinals","2009","Active",1,"Healthy","None"
"Bryant McFadden","Arizona Cardinals","2009","Active",1,"Healthy","None"
"Sean Morey","Arizona Cardinals","2009","Active",1,"Probable"," Ribs"
"Chike Okeafor","Arizona Cardinals","2009","Active",1,"Healthy","None"
"Ben Patrick","Arizona Cardinals","2009","Active",1,"Healthy","None"
"Neil Rackers","Arizona Cardinals","2009","Active",1,"Healthy","None"
"Dominique Rodgers-Cromartie","Arizona Cardinals","2009","Active",1,"Healthy","None"
"Antrel Rolle","Arizona Cardinals","2009","Active",1,"Healthy","None"
"Stephen Spach","Arizona Cardinals","2009","Active",1,"Healthy","None"
"Brian St. Pierre","Arizona Cardinals","2009","Out",1,"Out"," Back"
"Pago Togafau","Arizona Cardinals","2009","Out",1,"Injured Reserve"," Foot"
"Greg Toler","Arizona Cardinals","2009","Active",1,"Healthy","None"
"Matt Ware","Arizona Cardinals","2009","Active",1,"Healthy","None"
"Kurt Warner","Arizona Cardinals","2009","Active",1,"Healthy","None"
"Beanie Wells ","Arizona Cardinals","2009","Active",1,"Healthy","None"
"Reggie Wells","Arizona Cardinals","2009","Active",1,"Healthy","None"
"Adrian Wilson","Arizona Cardinals","2009","Active",1,"Healthy","None"
"Jason Wright","Arizona Cardinals","2009","Active",1,"Healthy","None"
"Michael Adams","Arizona Cardinals","2009","Active",2,"Healthy","None"
"Jason Banks","Arizona Cardinals","2009","Active",2,"Healthy","None"
"Bertrand Berry ","Arizona Cardinals","2009","Active",2,"Healthy","None"
"Anquan Boldin","Arizona Cardinals","2009","Active",2,"Probable"," Hamstring"
"Alan Branch","Arizona Cardinals","2009","Active",2,"Healthy","None"
"Steve Breaston","Arizona Cardinals","2009","Active",2,"Probable"," Knee"
"Cody Brown","Arizona Cardinals","2009","Out",2,"Injured Reserve"," Wrist"
"Levi Brown","Arizona Cardinals","2009","Active",2,"Healthy","None"
"Calais Campbell","Arizona Cardinals","2009","Active",2,"Healthy","None"
"Karlos Dansby","Arizona Cardinals","2009","Active",2,"Healthy","None"
"Will Davis ","Arizona Cardinals","2009","Active",2,"Healthy","None"
"Darnell Dockett","Arizona Cardinals","2009","Active",2,"Healthy","None"
"Early Doucet","Arizona Cardinals","2009","Out",2,"Out"," Ribs"
"Larry Fitzgerald","Arizona Cardinals","2009","Active",2,"Healthy","None"
"Mike Gandy","Arizona Cardinals","2009","Active",2,"Healthy","None"
