"Names","Team","Season","Active_Inactive","Week","Game_Designation","Injury_Type","Position","Side of Ball"
"A.Q. Shipley","Arizona Cardinals",2018,"Out",15,"Injured Reserve","Knee","C","Offense"
"A.Q. Shipley","Arizona Cardinals",2018,"Out",14,"Injured Reserve","Knee","C","Offense"
"A.Q. Shipley","Arizona Cardinals",2018,"Out",1,"Injured Reserve","Knee","C","Offense"
"A.Q. Shipley","Arizona Cardinals",2018,"Out",7,"Injured Reserve","Knee","C","Offense"
"A.Q. Shipley","Arizona Cardinals",2018,"Out",10,"Injured Reserve","Knee","C","Offense"
"A.Q. Shipley","Arizona Cardinals",2018,"Out",17,"Injured Reserve","Knee","C","Offense"
"A.Q. Shipley","Arizona Cardinals",2018,"Out",3,"Injured Reserve","Knee","C","Offense"
"A.Q. Shipley","Arizona Cardinals",2018,"Out",13,"Injured Reserve","Knee","C","Offense"
"A.Q. Shipley","Arizona Cardinals",2018,"Out",2,"Injured Reserve","Knee","C","Offense"
"A.Q. Shipley","Arizona Cardinals",2018,"Out",4,"Injured Reserve","Knee","C","Offense"
"A.Q. Shipley","Arizona Cardinals",2018,"Out",5,"Injured Reserve","Knee","C","Offense"
"A.Q. Shipley","Arizona Cardinals",2018,"Out",6,"Injured Reserve","Knee","C","Offense"
"A.Q. Shipley","Arizona Cardinals",2018,"Out",8,"Injured Reserve","Knee","C","Offense"
"A.Q. Shipley","Arizona Cardinals",2018,"Out",12,"Injured Reserve","Knee","C","Offense"
"A.Q. Shipley","Arizona Cardinals",2018,"Out",11,"Injured Reserve","Knee","C","Offense"
"A.Q. Shipley","Arizona Cardinals",2018,"Out",16,"Injured Reserve","Knee","C","Offense"
"Andre Smith","Arizona Cardinals",2018,"Active",1,"Healthy","None",NA,NA
"Andre Smith","Arizona Cardinals",2018,"Out",2,"Out","Elbow",NA,NA
"Andre Smith","Arizona Cardinals",2018,"Out",3,"Out","Elbow",NA,NA
"Andre Smith","Arizona Cardinals",2018,"Out",4,"Questionable","Elbow",NA,NA
"Andre Smith","Arizona Cardinals",2018,"Active",5,"Healthy","None",NA,NA
"Andre Smith","Arizona Cardinals",2018,"Active",6,"Questionable","Hamstring",NA,NA
"Andre Smith","Arizona Cardinals",2018,"Active",7,"Healthy","None",NA,NA
"Andre Smith","Arizona Cardinals",2018,"Active",8,"Healthy","None",NA,NA
"Andre Smith","Arizona Cardinals",2018,"Active",10,"Healthy","None",NA,NA
"Andre Smith","Arizona Cardinals",2018,"Active",11,"Healthy","None",NA,NA
"Andre Smith","Arizona Cardinals",2018,"Active",12,"Healthy","None",NA,NA
"Andre Smith","Arizona Cardinals",2018,"Active",13,"Healthy","None",NA,NA
"Andre Smith","Arizona Cardinals",2018,"Active",14,"Healthy","None",NA,NA
"Andre Smith","Arizona Cardinals",2018,"Active",15,"Healthy","None",NA,NA
"Andre Smith","Arizona Cardinals",2018,"Active",16,"Healthy","None",NA,NA
"Andre Smith","Arizona Cardinals",2018,"Active",17,"Healthy","None",NA,NA
"Arthur Moats","Arizona Cardinals",2018,"Out",17,"Injured Reserve","Knee","DE","Defense"
"Arthur Moats","Arizona Cardinals",2018,"Out",1,"Injured Reserve","Knee","DE","Defense"
"Arthur Moats","Arizona Cardinals",2018,"Out",7,"Injured Reserve","Knee","DE","Defense"
"Arthur Moats","Arizona Cardinals",2018,"Out",11,"Injured Reserve","Knee","DE","Defense"
"Arthur Moats","Arizona Cardinals",2018,"Out",6,"Injured Reserve","Knee","DE","Defense"
"Arthur Moats","Arizona Cardinals",2018,"Out",3,"Injured Reserve","Knee","DE","Defense"
"Arthur Moats","Arizona Cardinals",2018,"Out",4,"Injured Reserve","Knee","DE","Defense"
"Arthur Moats","Arizona Cardinals",2018,"Out",15,"Injured Reserve","Knee","DE","Defense"
"Arthur Moats","Arizona Cardinals",2018,"Out",8,"Injured Reserve","Knee","DE","Defense"
