"Names","Team","Season","Active_Inactive","Week","Game_Designation","Injury_Type","Position","Side of Ball"
"Alan Branch","Arizona Cardinals",2010,"Active",5,"Probable","Shoulder","DE","Defense"
"Alan Branch","Arizona Cardinals",2010,"Active",4,"Healthy","None","DE","Defense"
"Alan Branch","Arizona Cardinals",2010,"Active",17,"Healthy","None","DE","Defense"
"Alan Branch","Arizona Cardinals",2010,"Active",12,"Healthy","None","DE","Defense"
"Alan Branch","Arizona Cardinals",2010,"Active",7,"Healthy","None","DE","Defense"
"Alan Branch","Arizona Cardinals",2010,"Active",1,"Healthy","None","DE","Defense"
"Alan Branch","Arizona Cardinals",2010,"Active",11,"Healthy","None","DE","Defense"
"Alan Branch","Arizona Cardinals",2010,"Active",16,"Healthy","None","DE","Defense"
"Alan Branch","Arizona Cardinals",2010,"Active",13,"Healthy","None","DE","Defense"
"Alan Branch","Arizona Cardinals",2010,"Active",2,"Healthy","None","DE","Defense"
"Alan Branch","Arizona Cardinals",2010,"Active",8,"Questionable","Back","DE","Defense"
"Alan Branch","Arizona Cardinals",2010,"Active",14,"Healthy","None","DE","Defense"
"Alan Branch","Arizona Cardinals",2010,"Active",15,"Healthy","None","DE","Defense"
"Alan Branch","Arizona Cardinals",2010,"Active",9,"Probable","Back","DE","Defense"
"Alan Branch","Arizona Cardinals",2010,"Active",10,"Healthy","None","DE","Defense"
"Alan Branch","Arizona Cardinals",2010,"Active",3,"Healthy","None","DE","Defense"
"Alan Faneca","Arizona Cardinals",2010,"Active",3,"Probable","Back","G","Offense"
"Alan Faneca","Arizona Cardinals",2010,"Active",1,"Healthy","None","G","Offense"
"Alan Faneca","Arizona Cardinals",2010,"Active",11,"Healthy","None","G","Offense"
"Alan Faneca","Arizona Cardinals",2010,"Active",12,"Healthy","None","G","Offense"
"Alan Faneca","Arizona Cardinals",2010,"Active",4,"Probable","Back","G","Offense"
"Alan Faneca","Arizona Cardinals",2010,"Active",5,"Healthy","None","G","Offense"
"Alan Faneca","Arizona Cardinals",2010,"Active",10,"Healthy","None","G","Offense"
"Alan Faneca","Arizona Cardinals",2010,"Active",15,"Healthy","None","G","Offense"
"Alan Faneca","Arizona Cardinals",2010,"Active",9,"Healthy","None","G","Offense"
"Alan Faneca","Arizona Cardinals",2010,"Active",2,"Healthy","None","G","Offense"
"Alan Faneca","Arizona Cardinals",2010,"Active",13,"Healthy","None","G","Offense"
"Alan Faneca","Arizona Cardinals",2010,"Active",17,"Healthy","None","G","Offense"
"Alan Faneca","Arizona Cardinals",2010,"Active",14,"Healthy","None","G","Offense"
"Alan Faneca","Arizona Cardinals",2010,"Active",8,"Healthy","None","G","Offense"
"Alan Faneca","Arizona Cardinals",2010,"Active",16,"Healthy","None","G","Offense"
"Alan Faneca","Arizona Cardinals",2010,"Active",7,"Healthy","None","G","Offense"
"Andre Roberts","Arizona Cardinals",2010,"Active",13,"Healthy","None","WR","Offense"
"Andre Roberts","Arizona Cardinals",2010,"Out",1,"Probable","Shoulder","WR","Offense"
"Andre Roberts","Arizona Cardinals",2010,"Active",8,"Healthy","None","WR","Offense"
"Andre Roberts","Arizona Cardinals",2010,"Active",12,"Healthy","None","WR","Offense"
"Andre Roberts","Arizona Cardinals",2010,"Active",10,"Healthy","None","WR","Offense"
"Andre Roberts","Arizona Cardinals",2010,"Active",16,"Healthy","None","WR","Offense"
"Andre Roberts","Arizona Cardinals",2010,"Active",7,"Healthy","None","WR","Offense"
"Andre Roberts","Arizona Cardinals",2010,"Active",5,"Healthy","None","WR","Offense"
"Andre Roberts","Arizona Cardinals",2010,"Active",11,"Healthy","None","WR","Offense"
"Andre Roberts","Arizona Cardinals",2010,"Active",4,"Healthy","None","WR","Offense"
"Andre Roberts","Arizona Cardinals",2010,"Active",17,"Healthy","None","WR","Offense"
"Andre Roberts","Arizona Cardinals",2010,"Active",14,"Healthy","None","WR","Offense"
"Andre Roberts","Arizona Cardinals",2010,"Active",2,"Healthy","None","WR","Offense"
"Andre Roberts","Arizona Cardinals",2010,"Active",15,"Healthy","None","WR","Offense"
"Andre Roberts","Arizona Cardinals",2010,"Active",3,"Healthy","None","WR","Offense"
"Andre Roberts","Arizona Cardinals",2010,"Active",9,"Healthy","None","WR","Offense"
"Beanie Wells","Arizona Cardinals",2010,"Out",1,"Out","Knee","RB","Offense"
"Beanie Wells","Arizona Cardinals",2010,"Active",4,"Probable","Knee","RB","Offense"
"Beanie Wells","Arizona Cardinals",2010,"Out",10,"Out","Knee","RB","Offense"
"Beanie Wells","Arizona Cardinals",2010,"Out",2,"Out","Knee","RB","Offense"
"Beanie Wells","Arizona Cardinals",2010,"Active",11,"Probable","Knee","RB","Offense"
"Beanie Wells","Arizona Cardinals",2010,"Active",13,"Healthy","None","RB","Offense"
"Beanie Wells","Arizona Cardinals",2010,"Active",17,"Healthy","None","RB","Offense"
"Beanie Wells","Arizona Cardinals",2010,"Active",12,"Healthy","None","RB","Offense"
"Beanie Wells","Arizona Cardinals",2010,"Active",9,"Probable","Knee","RB","Offense"
"Beanie Wells","Arizona Cardinals",2010,"Active",7,"Healthy","None","RB","Offense"
"Beanie Wells","Arizona Cardinals",2010,"Active",3,"Probable","Knee","RB","Offense"
"Beanie Wells","Arizona Cardinals",2010,"Active",14,"Healthy","None","RB","Offense"
"Beanie Wells","Arizona Cardinals",2010,"Active",5,"Healthy","None","RB","Offense"
"Beanie Wells","Arizona Cardinals",2010,"Active",15,"Probable","Illness","RB","Offense"
"Beanie Wells","Arizona Cardinals",2010,"Active",8,"Healthy","None","RB","Offense"
"Beanie Wells","Arizona Cardinals",2010,"Active",16,"Healthy","None","RB","Offense"
