"Names","Team","Season","Active_Inactive","Week","Game_Designation","Injury_Type"
"Justin Bethel","Arizona Cardinals","2015","Active",1,"Healthy","None"
"John Brown","Arizona Cardinals","2015","Active",1,"Healthy","None"
"Deone Bucannon","Arizona Cardinals","2015","Active",1,"Healthy","None"
"Calais Campbell","Arizona Cardinals","2015","Active",1,"Healthy","None"
"Gerald Christian","Arizona Cardinals","2015","Out",1,"Injured Reserve"," Knee"
"Chris Clemons","Arizona Cardinals","2015","Active",1,"Healthy","None"
"Jonathan Cooper","Arizona Cardinals","2015","Active",1,"Healthy","None"
"Kenny Demens","Arizona Cardinals","2015","Active",1,"Healthy","None"
"Andre Ellington","Arizona Cardinals","2015","Active",1,"Healthy","None"
"Darren Fells","Arizona Cardinals","2015","Active",1,"Healthy","None"
"Larry Fitzgerald","Arizona Cardinals","2015","Active",1,"Healthy","None"
"Michael Floyd ","Arizona Cardinals","2015","Active",1,"Questionable"," Hand"
"Dwight Freeney","Arizona Cardinals","2015","Active",1,"Healthy","None"
"Alani Fua","Arizona Cardinals","2015","Active",1,"Healthy","None"
"John Fullington","Arizona Cardinals","2015","Active",1,"Healthy","None"
"Brittan Golden","Arizona Cardinals","2015","Active",1,"Healthy","None"
"Markus Golden","Arizona Cardinals","2015","Active",1,"Healthy","None"
"Jermaine Gresham","Arizona Cardinals","2015","Active",1,"Questionable"," Hamstring"
"Mike Iupati","Arizona Cardinals","2015","Out",1,"Out"," Knee"
"Tony Jefferson","Arizona Cardinals","2015","Active",1,"Healthy","None"
"Chris Johnson ","Arizona Cardinals","2015","Active",1,"Healthy","None"
"David Johnson","Arizona Cardinals","2015","Active",1,"Healthy","None"
"Rashad Johnson","Arizona Cardinals","2015","Active",1,"Healthy","None"
"Mike Leach","Arizona Cardinals","2015","Active",1,"Healthy","None"
"Tyrann Mathieu","Arizona Cardinals","2015","Active",1,"Healthy","None"
"Josh Mauro","Arizona Cardinals","2015","Active",1,"Healthy","None"
"Ifeanyi Momah","Arizona Cardinals","2015","Out",1,"Injured Reserve"," Knee"
"JJ Nelson","Arizona Cardinals","2015","Active",1,"Healthy","None"
"Troy Niklas","Arizona Cardinals","2015","Active",1,"Questionable"," Hamstring"
"Alex Okafor","Arizona Cardinals","2015","Active",1,"Healthy","None"
"Carson Palmer","Arizona Cardinals","2015","Active",1,"Healthy","None"
"Brandon Person","Arizona Cardinals","2015","Active",1,"Healthy","None"
"Corey Peters","Arizona Cardinals","2015","Out",1,"Injured Reserve"," Achilles"
"Patrick Peterson","Arizona Cardinals","2015","Active",1,"Healthy","None"
"Damond Powell","Arizona Cardinals","2015","Active",1,"Healthy","None"
"Jerraud Powers","Arizona Cardinals","2015","Active",1,"Healthy","None"
"Cory Redding","Arizona Cardinals","2015","Active",1,"Healthy","None"
"Frostee Rucker","Arizona Cardinals","2015","Active",1,"Healthy","None"
"Lyle Sendlein","Arizona Cardinals","2015","Active",1,"Healthy","None"
"Ed Stinson ","Arizona Cardinals","2015","Active",1,"Healthy","None"
"Stepfan Taylor","Arizona Cardinals","2015","Active",1,"Healthy","None"
"Jared Veldheer","Arizona Cardinals","2015","Active",1,"Healthy","None"
"Zack Wagenmann","Arizona Cardinals","2015","Active",1,"Healthy","None"
"Earl Watford","Arizona Cardinals","2015","Active",1,"Healthy","None"
