"Names","Team","Season","Active_Inactive","Week","Game_Designation","Injury_Type","Position","Side of Ball"
"A.Q. Shipley","Arizona Cardinals",2019,"Active",8,"Healthy","None","C","Offense"
"A.Q. Shipley","Arizona Cardinals",2019,"Active",4,"Healthy","None","C","Offense"
"A.Q. Shipley","Arizona Cardinals",2019,"Active",5,"Healthy","None","C","Offense"
"A.Q. Shipley","Arizona Cardinals",2019,"Active",9,"Healthy","None","C","Offense"
"A.Q. Shipley","Arizona Cardinals",2019,"Active",6,"Healthy","None","C","Offense"
"A.Q. Shipley","Arizona Cardinals",2019,"Active",7,"Healthy","None","C","Offense"
"A.Q. Shipley","Arizona Cardinals",2019,"Active",16,"Healthy","None","C","Offense"
"A.Q. Shipley","Arizona Cardinals",2019,"Active",15,"Healthy","None","C","Offense"
"A.Q. Shipley","Arizona Cardinals",2019,"Active",17,"Healthy","None","C","Offense"
"A.Q. Shipley","Arizona Cardinals",2019,"Active",11,"Healthy","None","C","Offense"
"A.Q. Shipley","Arizona Cardinals",2019,"Active",1,"Healthy","None","C","Offense"
"A.Q. Shipley","Arizona Cardinals",2019,"Active",10,"Healthy","None","C","Offense"
"A.Q. Shipley","Arizona Cardinals",2019,"Active",13,"Healthy","None","C","Offense"
"A.Q. Shipley","Arizona Cardinals",2019,"Active",14,"Questionable","Illness","C","Offense"
"A.Q. Shipley","Arizona Cardinals",2019,"Active",2,"Healthy","None","C","Offense"
"A.Q. Shipley","Arizona Cardinals",2019,"Active",3,"Healthy","None","C","Offense"
"Andy Isabella","Arizona Cardinals",2019,"Active",6,"Healthy","None","WR","Offense"
"Andy Isabella","Arizona Cardinals",2019,"Active",2,"Healthy","None","WR","Offense"
"Andy Isabella","Arizona Cardinals",2019,"Active",11,"Healthy","None","WR","Offense"
"Andy Isabella","Arizona Cardinals",2019,"Active",9,"Healthy","None","WR","Offense"
"Andy Isabella","Arizona Cardinals",2019,"Active",16,"Healthy","None","WR","Offense"
"Andy Isabella","Arizona Cardinals",2019,"Active",10,"Healthy","None","WR","Offense"
"Andy Isabella","Arizona Cardinals",2019,"Active",3,"Healthy","None","WR","Offense"
"Andy Isabella","Arizona Cardinals",2019,"Active",13,"Healthy","None","WR","Offense"
"Andy Isabella","Arizona Cardinals",2019,"Active",15,"Questionable","Shoulder","WR","Offense"
"Andy Isabella","Arizona Cardinals",2019,"Active",1,"Healthy","None","WR","Offense"
"Andy Isabella","Arizona Cardinals",2019,"Active",5,"Healthy","None","WR","Offense"
"Andy Isabella","Arizona Cardinals",2019,"Active",4,"Healthy","None","WR","Offense"
"Andy Isabella","Arizona Cardinals",2019,"Active",17,"Healthy","None","WR","Offense"
"Andy Isabella","Arizona Cardinals",2019,"Active",8,"Healthy","None","WR","Offense"
"Andy Isabella","Arizona Cardinals",2019,"Active",14,"Healthy","None","WR","Offense"
"Andy Isabella","Arizona Cardinals",2019,"Active",7,"Healthy","None","WR","Offense"
"Andy Lee","Arizona Cardinals",2019,"Active",10,"Healthy","None","P","Special Teams"
"Andy Lee","Arizona Cardinals",2019,"Active",16,"Healthy","None","P","Special Teams"
"Andy Lee","Arizona Cardinals",2019,"Active",6,"Questionable","Right Hip","P","Special Teams"
"Andy Lee","Arizona Cardinals",2019,"Active",2,"Healthy","None","P","Special Teams"
"Andy Lee","Arizona Cardinals",2019,"Out",4,"Questionable","Right Hip","P","Special Teams"
"Andy Lee","Arizona Cardinals",2019,"Active",13,"Healthy","None","P","Special Teams"
"Andy Lee","Arizona Cardinals",2019,"Active",11,"Healthy","None","P","Special Teams"
"Andy Lee","Arizona Cardinals",2019,"Active",9,"Healthy","None","P","Special Teams"
"Andy Lee","Arizona Cardinals",2019,"Active",1,"Healthy","None","P","Special Teams"
"Andy Lee","Arizona Cardinals",2019,"Active",3,"Healthy","None","P","Special Teams"
"Andy Lee","Arizona Cardinals",2019,"Active",7,"Questionable","Right Hip","P","Special Teams"
"Andy Lee","Arizona Cardinals",2019,"Active",15,"Healthy","None","P","Special Teams"
"Andy Lee","Arizona Cardinals",2019,"Active",14,"Healthy","None","P","Special Teams"
"Andy Lee","Arizona Cardinals",2019,"Active",5,"Questionable","Right Hip","P","Special Teams"
"Andy Lee","Arizona Cardinals",2019,"Active",17,"Healthy","None","P","Special Teams"
"Andy Lee","Arizona Cardinals",2019,"Active",8,"Healthy","None","P","Special Teams"
"Brandon Williams","Arizona Cardinals",2019,"Out",4,"Injured Reserve","None","CB","Defense"
"Brandon Williams","Arizona Cardinals",2019,"Out",7,"Injured Reserve","None","CB","Defense"
"Brandon Williams","Arizona Cardinals",2019,"Out",10,"Injured Reserve","None","CB","Defense"
"Brandon Williams","Arizona Cardinals",2019,"Out",9,"Injured Reserve","None","CB","Defense"
"Brandon Williams","Arizona Cardinals",2019,"Out",11,"Injured Reserve","None","CB","Defense"
"Brandon Williams","Arizona Cardinals",2019,"Out",8,"Injured Reserve","None","CB","Defense"
"Brandon Williams","Arizona Cardinals",2019,"Out",2,"Injured Reserve","None","CB","Defense"
