"Names","Team","Season","Active_Inactive","Week","Game_Designation","Injury_Type"
"Hamza Abdullah","Arizona Cardinals","2010","Active",1,"Healthy","None"
"Michael Adams","Arizona Cardinals","2010","Active",1,"Probable"," Shoulder"
"Derek Anderson ","Arizona Cardinals","2010","Active",1,"Healthy","None"
"Alan Branch","Arizona Cardinals","2010","Active",1,"Healthy","None"
"Steve Breaston","Arizona Cardinals","2010","Active",1,"Healthy","None"
"Calais Campbell","Arizona Cardinals","2010","Active",1,"Healthy","None"
"Will Davis ","Arizona Cardinals","2010","Active",1,"Probable"," Knee"
"Darnell Dockett","Arizona Cardinals","2010","Active",1,"Healthy","None"
"Early Doucet","Arizona Cardinals","2010","Active",1,"Healthy","None"
"Alan Faneca","Arizona Cardinals","2010","Active",1,"Healthy","None"
"Jay Feely","Arizona Cardinals","2010","Active",1,"Healthy","None"
"Larry Fitzgerald","Arizona Cardinals","2010","Active",1,"Probable"," Knee"
"Clark Haggans","Arizona Cardinals","2010","Active",1,"Healthy","None"
"Max Hall","Arizona Cardinals","2010","Active",1,"Healthy","None"
"Gerald Hayes","Arizona Cardinals","2010","Out",1,"Physically Unable to Perform"," Back"
"Kenny Iwebema","Arizona Cardinals","2010","Active",1,"Healthy","None"
"Brandon Keith","Arizona Cardinals","2010","Active",1,"Healthy","None"
"Paris Lenon","Arizona Cardinals","2010","Active",1,"Healthy","None"
"Ben Patrick","Arizona Cardinals","2010","Active",1,"Probable"," Knee"
"Joey Porter ","Arizona Cardinals","2010","Active",1,"Probable"," Back"
"Kerry Rhodes","Arizona Cardinals","2010","Active",1,"Healthy","None"
"Andre Roberts","Arizona Cardinals","2010","Out",1,"Probable"," Shoulder"
"Dominique Rodgers-Cromartie","Arizona Cardinals","2010","Active",1,"Healthy","None"
"O'Brien Schofield","Arizona Cardinals","2010","Out",1,"Injured Reserve"," Knee"
"Stephen Spach","Arizona Cardinals","2010","Active",1,"Healthy","None"
"LaRod Stephens-Howling","Arizona Cardinals","2010","Active",1,"Healthy","None"
"Greg Toler","Arizona Cardinals","2010","Active",1,"Healthy","None"
"Reggie Walker","Arizona Cardinals","2010","Active",1,"Healthy","None"
"Matt Ware","Arizona Cardinals","2010","Active",1,"Healthy","None"
"Beanie Wells ","Arizona Cardinals","2010","Out",1,"Out"," Knee"
"Dan Williams","Arizona Cardinals","2010","Active",1,"Healthy","None"
"Stephen Williams","Arizona Cardinals","2010","Active",1,"Healthy","None"
"Jason Wright","Arizona Cardinals","2010","Active",1,"Probable"," Toe"
"Hamza Abdullah","Arizona Cardinals","2010","Out",2,"Out"," Hamstring"
"Michael Adams","Arizona Cardinals","2010","Active",2,"Healthy","None"
"Derek Anderson ","Arizona Cardinals","2010","Active",2,"Healthy","None"
"Alan Branch","Arizona Cardinals","2010","Active",2,"Healthy","None"
"Steve Breaston","Arizona Cardinals","2010","Active",2,"Healthy","None"
"Calais Campbell","Arizona Cardinals","2010","Active",2,"Healthy","None"
"Will Davis ","Arizona Cardinals","2010","Active",2,"Healthy","None"
"Darnell Dockett","Arizona Cardinals","2010","Active",2,"Healthy","None"
"Early Doucet","Arizona Cardinals","2010","Out",2,"Out"," Groin"
"Alan Faneca","Arizona Cardinals","2010","Active",2,"Healthy","None"
"Jay Feely","Arizona Cardinals","2010","Active",2,"Healthy","None"
"Larry Fitzgerald","Arizona Cardinals","2010","Active",2,"Probable"," Knee"
"Clark Haggans","Arizona Cardinals","2010","Active",2,"Healthy","None"
"Max Hall","Arizona Cardinals","2010","Active",2,"Healthy","None"
"Gerald Hayes","Arizona Cardinals","2010","Out",2,"Physically Unable to Perform"," Back"
"Kenny Iwebema","Arizona Cardinals","2010","Active",2,"Probable"," Knee"
"Brandon Keith","Arizona Cardinals","2010","Active",2,"Healthy","None"
"Paris Lenon","Arizona Cardinals","2010","Active",2,"Healthy","None"
"Ben Patrick","Arizona Cardinals","2010","Active",2,"Healthy","None"
"Joey Porter ","Arizona Cardinals","2010","Active",2,"Healthy","None"
"Kerry Rhodes","Arizona Cardinals","2010","Active",2,"Healthy","None"
"Andre Roberts","Arizona Cardinals","2010","Active",2,"Healthy","None"
"Dominique Rodgers-Cromartie","Arizona Cardinals","2010","Active",2,"Healthy","None"
"O'Brien Schofield","Arizona Cardinals","2010","Out",2,"Injured Reserve"," Knee"
"Stephen Spach","Arizona Cardinals","2010","Active",2,"Healthy","None"
"LaRod Stephens-Howling","Arizona Cardinals","2010","Active",2,"Healthy","None"
"Greg Toler","Arizona Cardinals","2010","Active",2,"Healthy","None"
"Reggie Walker","Arizona Cardinals","2010","Active",2,"Healthy","None"
"Matt Ware","Arizona Cardinals","2010","Active",2,"Healthy","None"
"Beanie Wells ","Arizona Cardinals","2010","Out",2,"Out"," Knee"
"Dan Williams","Arizona Cardinals","2010","Active",2,"Healthy","None"
"Stephen Williams","Arizona Cardinals","2010","Active",2,"Healthy","None"
"Jason Wright","Arizona Cardinals","2010","Active",2,"Probable"," Toe"
"Hamza Abdullah","Arizona Cardinals","2010","Out",3,"Out"," Hamstring"
"Michael Adams","Arizona Cardinals","2010","Active",3,"Healthy","None"
"Derek Anderson ","Arizona Cardinals","2010","Active",3,"Healthy","None"
"Alan Branch","Arizona Cardinals","2010","Active",3,"Healthy","None"
"Steve Breaston","Arizona Cardinals","2010","Active",3,"Probable"," Knee"
"Calais Campbell","Arizona Cardinals","2010","Active",3,"Healthy","None"
"Will Davis ","Arizona Cardinals","2010","Active",3,"Probable"," Head"
"Darnell Dockett","Arizona Cardinals","2010","Active",3,"Healthy","None"
"Early Doucet","Arizona Cardinals","2010","Out",3,"Out"," Sports Hernia"
"Alan Faneca","Arizona Cardinals","2010","Active",3,"Probable"," Back"
"Jay Feely","Arizona Cardinals","2010","Active",3,"Healthy","None"
"Larry Fitzgerald","Arizona Cardinals","2010","Active",3,"Healthy","None"
"Clark Haggans","Arizona Cardinals","2010","Active",3,"Probable"," Heel"
"Max Hall","Arizona Cardinals","2010","Active",3,"Healthy","None"
"Gerald Hayes","Arizona Cardinals","2010","Out",3,"Physically Unable to Perform"," Back"
"Kenny Iwebema","Arizona Cardinals","2010","Active",3,"Probable"," Knee"
"Brandon Keith","Arizona Cardinals","2010","Active",3,"Healthy","None"
"Paris Lenon","Arizona Cardinals","2010","Active",3,"Healthy","None"
"Ben Patrick","Arizona Cardinals","2010","Active",3,"Healthy","None"
"Joey Porter ","Arizona Cardinals","2010","Active",3,"Healthy","None"
"Kerry Rhodes","Arizona Cardinals","2010","Active",3,"Healthy","None"
"Andre Roberts","Arizona Cardinals","2010","Active",3,"Healthy","None"
"Dominique Rodgers-Cromartie","Arizona Cardinals","2010","Active",3,"Healthy","None"
"O'Brien Schofield","Arizona Cardinals","2010","Out",3,"Injured Reserve"," Knee"
"Stephen Spach","Arizona Cardinals","2010","Active",3,"Healthy","None"
"LaRod Stephens-Howling","Arizona Cardinals","2010","Active",3,"Healthy","None"
"Greg Toler","Arizona Cardinals","2010","Active",3,"Healthy","None"
"Reggie Walker","Arizona Cardinals","2010","Active",3,"Healthy","None"
"Matt Ware","Arizona Cardinals","2010","Active",3,"Healthy","None"
"Beanie Wells ","Arizona Cardinals","2010","Active",3,"Probable"," Knee"
"Dan Williams","Arizona Cardinals","2010","Active",3,"Healthy","None"
