"Names","Team","Season","Active_Inactive","Week","Game_Designation","Injury_Type"
"Antoine Bethea","Arizona Cardinals","2017","Active",1,"Healthy","None"
"Alex Boone ","Arizona Cardinals","2017","Active",1,"Healthy","None"
"Tyvon Branch","Arizona Cardinals","2017","Active",1,"Healthy","None"
"Aaron Brewer","Arizona Cardinals","2017","Active",1,"Healthy","None"
"John Brown","Arizona Cardinals","2017","Active",1,"Healthy","None"
"Deone Bucannon","Arizona Cardinals","2017","Out",1,"Out"," Ankle"
"Josh Bynes","Arizona Cardinals","2017","Active",1,"Healthy","None"
"Karlos Dansby","Arizona Cardinals","2017","Active",1,"Healthy","None"
"Aaron Dobson","Arizona Cardinals","2017","Out",1,"Injured Reserve"," Hamstring"
"Andre Ellington","Arizona Cardinals","2017","Active",1,"Healthy","None"
"Rudy Ford","Arizona Cardinals","2017","Active",1,"Healthy","None"
"Alani Fua","Arizona Cardinals","2017","Out",1,"Injured Reserve"," Knee"
"Brittan Golden","Arizona Cardinals","2017","Active",1,"Healthy","None"
"Markus Golden","Arizona Cardinals","2017","Active",1,"Healthy","None"
"Jermaine Gresham","Arizona Cardinals","2017","Active",1,"Healthy","None"
"D.J. Humphries","Arizona Cardinals","2017","Active",1,"Healthy","None"
"Mike Iupati","Arizona Cardinals","2017","Active",1,"Questionable"," Tricep"
"David Johnson","Arizona Cardinals","2017","Active",1,"Healthy","None"
"Jarvis Jones","Arizona Cardinals","2017","Out",1,"Injured Reserve"," Quadricep"
"T.J. Logan","Arizona Cardinals","2017","Out",1,"Injured Reserve"," Wrist"
"Gabe Martin ","Arizona Cardinals","2017","Out",1,"Injured Reserve"," Achilles"
"Josh Mauro","Arizona Cardinals","2017","Active",1,"Healthy","None"
"Ifeanyi Momah","Arizona Cardinals","2017","Active",1,"Healthy","None"
"Daniel Munyer","Arizona Cardinals","2017","Active",1,"Healthy","None"
"JJ Nelson","Arizona Cardinals","2017","Active",1,"Healthy","None"
"Troy Niklas","Arizona Cardinals","2017","Active",1,"Healthy","None"
"Robert Nkemdiche","Arizona Cardinals","2017","Out",1,"Questionable"," Calf"
"Carson Palmer","Arizona Cardinals","2017","Active",1,"Healthy","None"
"Elijhaa Penny","Arizona Cardinals","2017","Active",1,"Healthy","None"
"Corey Peters","Arizona Cardinals","2017","Active",1,"Healthy","None"
"Adrian Peterson","Arizona Cardinals","2017","Active",1,"Healthy","None"
"Patrick Peterson","Arizona Cardinals","2017","Active",1,"Healthy","None"
"Olsen Pierre","Arizona Cardinals","2017","Active",1,"Healthy","None"
"Frostee Rucker","Arizona Cardinals","2017","Active",1,"Healthy","None"
"A.Q. Shipley","Arizona Cardinals","2017","Active",1,"Healthy","None"
"Drew Stanton","Arizona Cardinals","2017","Active",1,"Healthy","None"
"Jared Veldheer","Arizona Cardinals","2017","Active",1,"Healthy","None"
"Earl Watford","Arizona Cardinals","2017","Active",1,"Healthy","None"
"John Wetzel","Arizona Cardinals","2017","Active",1,"Healthy","None"
"Chad Williams","Arizona Cardinals","2017","Active",1,"Healthy","None"
"Kerwynn Williams","Arizona Cardinals","2017","Active",1,"Healthy","None"
"Xavier Williams","Arizona Cardinals","2017","Active",1,"Healthy","None"
"Ronald Zamort","Arizona Cardinals","2017","Out",1,"Injured Reserve"," Knee"
"Antoine Bethea","Arizona Cardinals","2017","Active",2,"Healthy","None"
"Alex Boone ","Arizona Cardinals","2017","Active",2,"Healthy","None"
"Tyvon Branch","Arizona Cardinals","2017","Active",2,"Healthy","None"
"Aaron Brewer","Arizona Cardinals","2017","Active",2,"Healthy","None"
"John Brown","Arizona Cardinals","2017","Out",2,"Out"," Quadricep"
"Deone Bucannon","Arizona Cardinals","2017","Out",2,"Doubtful"," Ankle"
"Josh Bynes","Arizona Cardinals","2017","Active",2,"Healthy","None"
"Karlos Dansby","Arizona Cardinals","2017","Active",2,"Healthy","None"
"Aaron Dobson","Arizona Cardinals","2017","Out",2,"Injured Reserve"," Hamstring"
