"Names","Team","Season","Active_Inactive","Week","Game_Designation","Injury_Type","Position","Side of Ball"
"Adam Snyder","Arizona Cardinals",2012,"Active",5,"Probable"," Elbow","G","Offense"
"Adam Snyder","Arizona Cardinals",2012,"Active",12,"Healthy","None","G","Offense"
"Adam Snyder","Arizona Cardinals",2012,"Active",16,"Healthy","None","G","Offense"
"Adam Snyder","Arizona Cardinals",2012,"Active",6,"Probable"," Elbow","G","Offense"
"Adam Snyder","Arizona Cardinals",2012,"Active",15,"Healthy","None","G","Offense"
"Adam Snyder","Arizona Cardinals",2012,"Active",4,"Probable"," Elbow","G","Offense"
"Adam Snyder","Arizona Cardinals",2012,"Active",7,"Probable"," Elbow","G","Offense"
"Adam Snyder","Arizona Cardinals",2012,"Active",3,"Questionable"," Elbow","G","Offense"
"Adam Snyder","Arizona Cardinals",2012,"Active",2,"Probable"," Elbow","G","Offense"
"Adam Snyder","Arizona Cardinals",2012,"Out",8,"Questionable"," Quadricep","G","Offense"
"Adam Snyder","Arizona Cardinals",2012,"Active",1,"Questionable"," Elbow","G","Offense"
"Adam Snyder","Arizona Cardinals",2012,"Active",13,"Healthy","None","G","Offense"
"Adam Snyder","Arizona Cardinals",2012,"Active",17,"Healthy","None","G","Offense"
"Adam Snyder","Arizona Cardinals",2012,"Active",11,"Probable"," Quadricep","G","Offense"
"Adam Snyder","Arizona Cardinals",2012,"Out",9,"Out"," Quadricep","G","Offense"
"Adam Snyder","Arizona Cardinals",2012,"Active",14,"Healthy","None","G","Offense"
"Adrian Wilson","Arizona Cardinals",2012,"Active",8,"Healthy","None","SS","Defense"
"Adrian Wilson","Arizona Cardinals",2012,"Active",12,"Healthy","None","SS","Defense"
"Adrian Wilson","Arizona Cardinals",2012,"Active",11,"Healthy","None","SS","Defense"
"Adrian Wilson","Arizona Cardinals",2012,"Out",3,"Questionable"," Ankle","SS","Defense"
"Adrian Wilson","Arizona Cardinals",2012,"Active",7,"Healthy","None","SS","Defense"
"Adrian Wilson","Arizona Cardinals",2012,"Active",2,"Questionable"," Ankle","SS","Defense"
"Adrian Wilson","Arizona Cardinals",2012,"Active",1,"Healthy","None","SS","Defense"
"Adrian Wilson","Arizona Cardinals",2012,"Active",4,"Questionable"," Ankle","SS","Defense"
"Adrian Wilson","Arizona Cardinals",2012,"Active",15,"Healthy","None","SS","Defense"
"Adrian Wilson","Arizona Cardinals",2012,"Active",16,"Healthy","None","SS","Defense"
"Adrian Wilson","Arizona Cardinals",2012,"Active",9,"Healthy","None","SS","Defense"
"Adrian Wilson","Arizona Cardinals",2012,"Active",13,"Healthy","None","SS","Defense"
"Adrian Wilson","Arizona Cardinals",2012,"Active",14,"Healthy","None","SS","Defense"
"Adrian Wilson","Arizona Cardinals",2012,"Active",5,"Probable"," Ankle/Groin","SS","Defense"
"Adrian Wilson","Arizona Cardinals",2012,"Active",17,"Probable"," Illness","SS","Defense"
"Adrian Wilson","Arizona Cardinals",2012,"Active",6,"Healthy","None","SS","Defense"
"Alfonso Smith","Arizona Cardinals",2012,"Active",8,"Healthy","None","RB","Offense"
"Alfonso Smith","Arizona Cardinals",2012,"Active",5,"Healthy","None","RB","Offense"
"Alfonso Smith","Arizona Cardinals",2012,"Out",13,"Questionable"," Illness","RB","Offense"
"Alfonso Smith","Arizona Cardinals",2012,"Active",4,"Healthy","None","RB","Offense"
"Alfonso Smith","Arizona Cardinals",2012,"Active",7,"Healthy","None","RB","Offense"
"Alfonso Smith","Arizona Cardinals",2012,"Active",16,"Healthy","None","RB","Offense"
"Alfonso Smith","Arizona Cardinals",2012,"Active",1,"Healthy","None","RB","Offense"
"Alfonso Smith","Arizona Cardinals",2012,"Active",11,"Healthy","None","RB","Offense"
"Alfonso Smith","Arizona Cardinals",2012,"Active",17,"Healthy","None","RB","Offense"
"Alfonso Smith","Arizona Cardinals",2012,"Active",6,"Healthy","None","RB","Offense"
"Alfonso Smith","Arizona Cardinals",2012,"Out",12,"Probable"," Illness","RB","Offense"
"Alfonso Smith","Arizona Cardinals",2012,"Active",9,"Healthy","None","RB","Offense"
