"Names","Team","Season","Active_Inactive","Week","Game_Designation","Injury_Type"
"Bryson Albright","Arizona Cardinals","2018","Out",1,"Injured Reserve"," Undisclosed"
"Thurston Armbrister","Arizona Cardinals","2018","Active",1,"Healthy","None"
"Budda Baker ","Arizona Cardinals","2018","Active",1,"Healthy","None"
"Bene Benwikere","Arizona Cardinals","2018","Active",1,"Healthy","None"
"Tre Boston","Arizona Cardinals","2018","Active",1,"Healthy","None"
"Deone Bucannon","Arizona Cardinals","2018","Active",1,"Healthy","None"
"Josh Bynes","Arizona Cardinals","2018","Active",1,"Healthy","None"
"Christian Campbell","Arizona Cardinals","2018","Out",1,"Injured Reserve"," Ankle"
"Jeremy Cash","Arizona Cardinals","2018","Out",1,"Injured Reserve"," Knee"
"Korey Cunningham","Arizona Cardinals","2018","Active",1,"Healthy","None"
"Phil Dawson","Arizona Cardinals","2018","Active",1,"Healthy","None"
"Chase Edmonds","Arizona Cardinals","2018","Active",1,"Healthy","None"
"Larry Fitzgerald","Arizona Cardinals","2018","Active",1,"Healthy","None"
"D.J. Foster ","Arizona Cardinals","2018","Out",1,"Injured Reserve"," Knee"
"Dennis Gardeck","Arizona Cardinals","2018","Active",1,"Healthy","None"
"Markus Golden","Arizona Cardinals","2018","Out",1,"Out"," Knee"
"Jermaine Gresham","Arizona Cardinals","2018","Out",1,"Questionable"," Achilles"
"Rodney Gunter","Arizona Cardinals","2018","Active",1,"Healthy","None"
"Will Holden","Arizona Cardinals","2018","Active",1,"Healthy","None"
"D.J. Humphries","Arizona Cardinals","2018","Active",1,"Healthy","None"
"Mike Iupati","Arizona Cardinals","2018","Active",1,"Healthy","None"
"Christian Kirk","Arizona Cardinals","2018","Active",1,"Healthy","None"
"T.J. Logan","Arizona Cardinals","2018","Out",1,"Questionable"," Ankle"
"Gabe Martin ","Arizona Cardinals","2018","Out",1,"Injured Reserve"," Achilles"
"Praise Martin-Oguike","Arizona Cardinals","2018","Out",1,"Injured Reserve"," Undisclosed"
"Benson Mayowa ","Arizona Cardinals","2018","Active",1,"Healthy","None"
"Arthur Moats","Arizona Cardinals","2018","Out",1,"Injured Reserve"," Knee"
"JJ Nelson","Arizona Cardinals","2018","Active",1,"Healthy","None"
"Robert Nkemdiche","Arizona Cardinals","2018","Active",1,"Questionable"," Foot"
"Jonathan Owens","Arizona Cardinals","2018","Active",1,"Healthy","None"
"Corey Peters","Arizona Cardinals","2018","Active",1,"Healthy","None"
"Patrick Peterson","Arizona Cardinals","2018","Active",1,"Healthy","None"
