"Names","Team","Season","Active_Inactive","Week","Game_Designation","Injury_Type"
"Michael Adams","Arizona Cardinals","2012","Active",1,"Healthy","None"
"Richard Bartel","Arizona Cardinals","2012","Out",1,"Injured Reserve"," Shoulder"
"D'Anthony Batiste","Arizona Cardinals","2012","Active",1,"Healthy","None"
"Justin Bethel","Arizona Cardinals","2012","Active",1,"Healthy","None"
"Jeremy Bridges","Arizona Cardinals","2012","Out",1,"Injured Reserve"," Thumb"
"Levi Brown","Arizona Cardinals","2012","Out",1,"Injured Reserve"," Triceps"
"LaRon Byrd ","Arizona Cardinals","2012","Active",1,"Healthy","None"
"Calais Campbell","Arizona Cardinals","2012","Active",1,"Healthy","None"
"Daryn Colledge","Arizona Cardinals","2012","Active",1,"Healthy","None"
"Darnell Dockett","Arizona Cardinals","2012","Active",1,"Healthy","None"
"Early Doucet","Arizona Cardinals","2012","Active",1,"Healthy","None"
"Jim Dray","Arizona Cardinals","2012","Active",1,"Healthy","None"
"Nick Eason","Arizona Cardinals","2012","Active",1,"Healthy","None"
"Jay Feely","Arizona Cardinals","2012","Active",1,"Healthy","None"
"Larry Fitzgerald","Arizona Cardinals","2012","Active",1,"Healthy","None"
"Jamell Fleming","Arizona Cardinals","2012","Active",1,"Healthy","None"
"William Gay","Arizona Cardinals","2012","Active",1,"Healthy","None"
"Mike Gibson ","Arizona Cardinals","2012","Active",1,"Healthy","None"
"Quentin Groves ","Arizona Cardinals","2012","Active",1,"Healthy","None"
"Todd Heap","Arizona Cardinals","2012","Active",1,"Healthy","None"
"Rob Housler","Arizona Cardinals","2012","Active",1,"Probable"," Hamstring"
"Javarris James","Arizona Cardinals","2012","Out",1,"Injured Reserve"," Knee"
"Rashad Johnson","Arizona Cardinals","2012","Active",1,"Probable"," Abdomen"
"Jeff King","Arizona Cardinals","2012","Active",1,"Healthy","None"
"Kevin Kolb","Arizona Cardinals","2012","Active",1,"Healthy","None"
"Mike Leach","Arizona Cardinals","2012","Active",1,"Healthy","None"
"Paris Lenon","Arizona Cardinals","2012","Active",1,"Healthy","None"
"Pat McQuistan","Arizona Cardinals","2012","Active",1,"Healthy","None"
"Rich Ohrnberger","Arizona Cardinals","2012","Active",1,"Healthy","None"
"Patrick Peterson","Arizona Cardinals","2012","Active",1,"Healthy","None"
"Nate Potter","Arizona Cardinals","2012","Active",1,"Healthy","None"
"William Powell","Arizona Cardinals","2012","Active",1,"Healthy","None"
"Kerry Rhodes","Arizona Cardinals","2012","Active",1,"Healthy","None"
"Andre Roberts","Arizona Cardinals","2012","Active",1,"Probable"," Ankle"
"James Sanders ","Arizona Cardinals","2012","Active",1,"Healthy","None"
"O'Brien Schofield","Arizona Cardinals","2012","Active",1,"Probable"," Knee"
"Lyle Sendlein","Arizona Cardinals","2012","Active",1,"Healthy","None"
"Anthony Sherman","Arizona Cardinals","2012","Active",1,"Healthy","None"
"John Skelton","Arizona Cardinals","2012","Active",1,"Healthy","None"
"Alfonso Smith","Arizona Cardinals","2012","Active",1,"Healthy","None"
"Adam Snyder","Arizona Cardinals","2012","Active",1,"Questionable"," Elbow"
"LaRod Stephens-Howling","Arizona Cardinals","2012","Active",1,"Probable"," Groin"
"Ronald Talley ","Arizona Cardinals","2012","Active",1,"Healthy","None"
"Greg Toler","Arizona Cardinals","2012","Out",1,"Questionable"," Hip"
"Reggie Walker","Arizona Cardinals","2012","Active",1,"Healthy","None"
"Beanie Wells ","Arizona Cardinals","2012","Active",1,"Questionable"," Hamstring"
"Dan Williams","Arizona Cardinals","2012","Active",1,"Healthy","None"
"Ryan Williams","Arizona Cardinals","2012","Active",1,"Healthy","None"
"Adrian Wilson","Arizona Cardinals","2012","Active",1,"Healthy","None"
"Dave Zastudil","Arizona Cardinals","2012","Active",1,"Healthy","None"
"Michael Adams","Arizona Cardinals","2012","Active",2,"Healthy","None"
"Richard Bartel","Arizona Cardinals","2012","Out",2,"Injured Reserve"," Shoulder"
"D'Anthony Batiste","Arizona Cardinals","2012","Active",2,"Healthy","None"
"Justin Bethel","Arizona Cardinals","2012","Active",2,"Healthy","None"
"Jeremy Bridges","Arizona Cardinals","2012","Out",2,"Injured Reserve"," Thumb"
"Levi Brown","Arizona Cardinals","2012","Out",2,"Injured Reserve"," Triceps"
"LaRon Byrd ","Arizona Cardinals","2012","Active",2,"Healthy","None"
"Calais Campbell","Arizona Cardinals","2012","Active",2,"Healthy","None"
"Daryn Colledge","Arizona Cardinals","2012","Active",2,"Probable"," Elbow"
"Darnell Dockett","Arizona Cardinals","2012","Active",2,"Healthy","None"
"Early Doucet","Arizona Cardinals","2012","Active",2,"Healthy","None"
"Jim Dray","Arizona Cardinals","2012","Active",2,"Healthy","None"
"Nick Eason","Arizona Cardinals","2012","Active",2,"Healthy","None"
"Jay Feely","Arizona Cardinals","2012","Active",2,"Probable"," Back"
"Larry Fitzgerald","Arizona Cardinals","2012","Active",2,"Healthy","None"
"Jamell Fleming","Arizona Cardinals","2012","Active",2,"Probable"," Shoulder"
"William Gay","Arizona Cardinals","2012","Active",2,"Healthy","None"
"Mike Gibson ","Arizona Cardinals","2012","Active",2,"Healthy","None"
"Quentin Groves ","Arizona Cardinals","2012","Active",2,"Healthy","None"
"Todd Heap","Arizona Cardinals","2012","Active",2,"Questionable"," Knee"
"Rob Housler","Arizona Cardinals","2012","Active",2,"Healthy","None"
"Javarris James","Arizona Cardinals","2012","Out",2,"Injured Reserve"," Knee"
"Rashad Johnson","Arizona Cardinals","2012","Active",2,"Questionable"," Thigh"
"Jeff King","Arizona Cardinals","2012","Active",2,"Probable"," Knee"
"Kevin Kolb","Arizona Cardinals","2012","Active",2,"Healthy","None"
"Mike Leach","Arizona Cardinals","2012","Active",2,"Healthy","None"
"Paris Lenon","Arizona Cardinals","2012","Active",2,"Healthy","None"
"Pat McQuistan","Arizona Cardinals","2012","Active",2,"Healthy","None"
"Rich Ohrnberger","Arizona Cardinals","2012","Active",2,"Healthy","None"
"Patrick Peterson","Arizona Cardinals","2012","Active",2,"Questionable"," Groin"
"Nate Potter","Arizona Cardinals","2012","Active",2,"Healthy","None"
"William Powell","Arizona Cardinals","2012","Active",2,"Healthy","None"
"Kerry Rhodes","Arizona Cardinals","2012","Active",2,"Probable"," Foot"
"Andre Roberts","Arizona Cardinals","2012","Active",2,"Healthy","None"
"James Sanders ","Arizona Cardinals","2012","Active",2,"Healthy","None"
"O'Brien Schofield","Arizona Cardinals","2012","Active",2,"Probable"," Knee"
"Lyle Sendlein","Arizona Cardinals","2012","Active",2,"Probable"," Back"
"Anthony Sherman","Arizona Cardinals","2012","Active",2,"Healthy","None"
"John Skelton","Arizona Cardinals","2012","Out",2,"Out"," Ankle"
"Alfonso Smith","Arizona Cardinals","2012","Active",2,"Healthy","None"
"Adam Snyder","Arizona Cardinals","2012","Active",2,"Probable"," Elbow"
"LaRod Stephens-Howling","Arizona Cardinals","2012","Active",2,"Healthy","None"
"Ronald Talley ","Arizona Cardinals","2012","Active",2,"Healthy","None"
"Greg Toler","Arizona Cardinals","2012","Active",2,"Probable"," Hip"
"Reggie Walker","Arizona Cardinals","2012","Active",2,"Healthy","None"
"Beanie Wells ","Arizona Cardinals","2012","Active",2,"Probable"," Knee"
"Dan Williams","Arizona Cardinals","2012","Active",2,"Healthy","None"
"Ryan Williams","Arizona Cardinals","2012","Active",2,"Probable"," Knee"
"Adrian Wilson","Arizona Cardinals","2012","Active",2,"Questionable"," Ankle"
"Dave Zastudil","Arizona Cardinals","2012","Active",2,"Healthy","None"
"Michael Adams","Arizona Cardinals","2012","Active",3,"Healthy","None"
"Richard Bartel","Arizona Cardinals","2012","Out",3,"Injured Reserve"," Shoulder"
"D'Anthony Batiste","Arizona Cardinals","2012","Active",3,"Healthy","None"
"Justin Bethel","Arizona Cardinals","2012","Active",3,"Healthy","None"
"Jeremy Bridges","Arizona Cardinals","2012","Out",3,"Injured Reserve"," Thumb"
"Levi Brown","Arizona Cardinals","2012","Out",3,"Injured Reserve"," Triceps"
"LaRon Byrd ","Arizona Cardinals","2012","Active",3,"Healthy","None"
"Calais Campbell","Arizona Cardinals","2012","Active",3,"Healthy","None"
"Daryn Colledge","Arizona Cardinals","2012","Active",3,"Probable"," Shoulder"
"Darnell Dockett","Arizona Cardinals","2012","Active",3,"Healthy","None"
"Early Doucet","Arizona Cardinals","2012","Active",3,"Healthy","None"
"Jim Dray","Arizona Cardinals","2012","Active",3,"Healthy","None"
"Nick Eason","Arizona Cardinals","2012","Active",3,"Healthy","None"
"Jay Feely","Arizona Cardinals","2012","Active",3,"Healthy","None"
"Larry Fitzgerald","Arizona Cardinals","2012","Active",3,"Healthy","None"
"Jamell Fleming","Arizona Cardinals","2012","Active",3,"Probable"," Shoulder"
"William Gay","Arizona Cardinals","2012","Active",3,"Healthy","None"
"Mike Gibson ","Arizona Cardinals","2012","Active",3,"Healthy","None"
"Quentin Groves ","Arizona Cardinals","2012","Active",3,"Healthy","None"
"Todd Heap","Arizona Cardinals","2012","Out",3,"Questionable"," Knee"
"Rob Housler","Arizona Cardinals","2012","Active",3,"Healthy","None"
"Javarris James","Arizona Cardinals","2012","Out",3,"Injured Reserve"," Knee"
"Rashad Johnson","Arizona Cardinals","2012","Active",3,"Questionable"," Hamstring"
"Jeff King","Arizona Cardinals","2012","Active",3,"Probable"," Knee"
"Kevin Kolb","Arizona Cardinals","2012","Active",3,"Questionable"," Personal"
"Mike Leach","Arizona Cardinals","2012","Active",3,"Healthy","None"
"Paris Lenon","Arizona Cardinals","2012","Active",3,"Healthy","None"
"Pat McQuistan","Arizona Cardinals","2012","Active",3,"Healthy","None"
"Rich Ohrnberger","Arizona Cardinals","2012","Active",3,"Healthy","None"
"Patrick Peterson","Arizona Cardinals","2012","Active",3,"Healthy","None"
"Nate Potter","Arizona Cardinals","2012","Active",3,"Healthy","None"
"William Powell","Arizona Cardinals","2012","Active",3,"Healthy","None"
"Kerry Rhodes","Arizona Cardinals","2012","Active",3,"Probable"," Foot"
"Andre Roberts","Arizona Cardinals","2012","Active",3,"Healthy","None"
"James Sanders ","Arizona Cardinals","2012","Active",3,"Questionable"," Calf"
"O'Brien Schofield","Arizona Cardinals","2012","Active",3,"Probable"," Knee"
"Lyle Sendlein","Arizona Cardinals","2012","Active",3,"Healthy","None"
"Anthony Sherman","Arizona Cardinals","2012","Active",3,"Healthy","None"
"John Skelton","Arizona Cardinals","2012","Out",3,"Out"," Ankle"
"Alfonso Smith","Arizona Cardinals","2012","Active",3,"Healthy","None"
"Adam Snyder","Arizona Cardinals","2012","Active",3,"Questionable"," Elbow"
"LaRod Stephens-Howling","Arizona Cardinals","2012","Active",3,"Healthy","None"
"Ronald Talley ","Arizona Cardinals","2012","Active",3,"Healthy","None"
"Greg Toler","Arizona Cardinals","2012","Active",3,"Healthy","None"
"Reggie Walker","Arizona Cardinals","2012","Active",3,"Healthy","None"
"Beanie Wells ","Arizona Cardinals","2012","Active",3,"Probable"," Knee"
"Dan Williams","Arizona Cardinals","2012","Active",3,"Healthy","None"
"Ryan Williams","Arizona Cardinals","2012","Active",3,"Probable"," Knee"
"Adrian Wilson","Arizona Cardinals","2012","Out",3,"Questionable"," Ankle"
"Dave Zastudil","Arizona Cardinals","2012","Active",3,"Healthy","None"
"Michael Adams","Arizona Cardinals","2012","Active",4,"Questionable"," Hamstring"
"Richard Bartel","Arizona Cardinals","2012","Out",4,"Injured Reserve"," Shoulder"
"D'Anthony Batiste","Arizona Cardinals","2012","Active",4,"Healthy","None"
"Justin Bethel","Arizona Cardinals","2012","Active",4,"Healthy","None"
"Jeremy Bridges","Arizona Cardinals","2012","Out",4,"Injured Reserve"," Thumb"
"Levi Brown","Arizona Cardinals","2012","Out",4,"Injured Reserve"," Triceps"
"LaRon Byrd ","Arizona Cardinals","2012","Active",4,"Healthy","None"
"Calais Campbell","Arizona Cardinals","2012","Active",4,"Healthy","None"
"Daryn Colledge","Arizona Cardinals","2012","Active",4,"Probable"," Shoulder"
"Darnell Dockett","Arizona Cardinals","2012","Out",4,"Doubtful"," Hamstring"
"Early Doucet","Arizona Cardinals","2012","Active",4,"Healthy","None"
"Jim Dray","Arizona Cardinals","2012","Out",4,"Doubtful"," Knee"
"Nick Eason","Arizona Cardinals","2012","Active",4,"Healthy","None"
"Jay Feely","Arizona Cardinals","2012","Active",4,"Healthy","None"
"Larry Fitzgerald","Arizona Cardinals","2012","Active",4,"Healthy","None"
"Jamell Fleming","Arizona Cardinals","2012","Active",4,"Probable"," Shoulder"
"William Gay","Arizona Cardinals","2012","Active",4,"Healthy","None"
"Mike Gibson ","Arizona Cardinals","2012","Active",4,"Healthy","None"
"Quentin Groves ","Arizona Cardinals","2012","Active",4,"Healthy","None"
"Todd Heap","Arizona Cardinals","2012","Out",4,"Doubtful"," Knee"
"Rob Housler","Arizona Cardinals","2012","Active",4,"Healthy","None"
"Javarris James","Arizona Cardinals","2012","Out",4,"Injured Reserve"," Knee"
"Rashad Johnson","Arizona Cardinals","2012","Active",4,"Questionable"," Hamstring"
"Jeff King","Arizona Cardinals","2012","Active",4,"Probable"," Knee"
"Kevin Kolb","Arizona Cardinals","2012","Active",4,"Healthy","None"
"Mike Leach","Arizona Cardinals","2012","Active",4,"Healthy","None"
"Paris Lenon","Arizona Cardinals","2012","Active",4,"Healthy","None"
"Pat McQuistan","Arizona Cardinals","2012","Active",4,"Healthy","None"
"Rich Ohrnberger","Arizona Cardinals","2012","Active",4,"Healthy","None"
"Patrick Peterson","Arizona Cardinals","2012","Active",4,"Healthy","None"
"Nate Potter","Arizona Cardinals","2012","Active",4,"Healthy","None"
"William Powell","Arizona Cardinals","2012","Active",4,"Healthy","None"
"Kerry Rhodes","Arizona Cardinals","2012","Active",4,"Probable"," Foot"
"Andre Roberts","Arizona Cardinals","2012","Active",4,"Healthy","None"
"James Sanders ","Arizona Cardinals","2012","Active",4,"Questionable"," Calf"
"O'Brien Schofield","Arizona Cardinals","2012","Active",4,"Probable"," Knee"
"Lyle Sendlein","Arizona Cardinals","2012","Active",4,"Healthy","None"
"Anthony Sherman","Arizona Cardinals","2012","Active",4,"Questionable"," Hamsting"
"John Skelton","Arizona Cardinals","2012","Out",4,"Doubtful"," Ankle"
"Alfonso Smith","Arizona Cardinals","2012","Active",4,"Healthy","None"
"Adam Snyder","Arizona Cardinals","2012","Active",4,"Probable"," Elbow"
"LaRod Stephens-Howling","Arizona Cardinals","2012","Out",4,"Doubtful"," Groin"
"Ronald Talley ","Arizona Cardinals","2012","Active",4,"Healthy","None"
"Greg Toler","Arizona Cardinals","2012","Active",4,"Healthy","None"
"Reggie Walker","Arizona Cardinals","2012","Active",4,"Healthy","None"
"Beanie Wells ","Arizona Cardinals","2012","Out",4,"Injured Reserve"," Toe"
"Dan Williams","Arizona Cardinals","2012","Active",4,"Healthy","None"
"Ryan Williams","Arizona Cardinals","2012","Active",4,"Probable"," Knee"
"Adrian Wilson","Arizona Cardinals","2012","Active",4,"Questionable"," Ankle"
"Dave Zastudil","Arizona Cardinals","2012","Active",4,"Probable"," Right Calf"
"Michael Adams","Arizona Cardinals","2012","Active",5,"Questionable"," Hamstring"
"Richard Bartel","Arizona Cardinals","2012","Out",5,"Injured Reserve"," Shoulder"
