"Names","Team","Season","Active_Inactive","Week","Game_Designation","Injury_Type"
"Justin Bethel","Arizona Cardinals","2016","Active",1,"Questionable"," Foot"
"Elie Bouka","Arizona Cardinals","2016","Out",1,"Injured Reserve"," Hamstring"
"Tyvon Branch","Arizona Cardinals","2016","Active",1,"Healthy","None"
"Jaron Brown","Arizona Cardinals","2016","Active",1,"Healthy","None"
"John Brown","Arizona Cardinals","2016","Active",1,"Healthy","None"
"C.B. Bryant","Arizona Cardinals","2016","Active",1,"Healthy","None"
"Deone Bucannon","Arizona Cardinals","2016","Active",1,"Healthy","None"
"Drew Butler","Arizona Cardinals","2016","Active",1,"Healthy","None"
"Durell Eskridge","Arizona Cardinals","2016","Out",1,"Injured Reserve"," Arm"
"Alani Fua","Arizona Cardinals","2016","Active",1,"Healthy","None"
"Brittan Golden","Arizona Cardinals","2016","Active",1,"Healthy","None"
"Markus Golden","Arizona Cardinals","2016","Active",1,"Healthy","None"
"Jermaine Gresham","Arizona Cardinals","2016","Active",1,"Healthy","None"
"D.J. Humphries","Arizona Cardinals","2016","Active",1,"Healthy","None"
"Mike Iupati","Arizona Cardinals","2016","Active",1,"Healthy","None"
"Tony Jefferson","Arizona Cardinals","2016","Active",1,"Healthy","None"
"Mike Jenkins","Arizona Cardinals","2016","Out",1,"Injured Reserve"," Knee"
"Ulrick John","Arizona Cardinals","2016","Active",1,"Healthy","None"
"Chris Johnson ","Arizona Cardinals","2016","Active",1,"Healthy","None"
"Lamar Louis","Arizona Cardinals","2016","Active",1,"Healthy","None"
"Gabe Martin ","Arizona Cardinals","2016","Active",1,"Healthy","None"
"Kareem Martin ","Arizona Cardinals","2016","Out",1,"Out"," Knee"
"Tyrann Mathieu","Arizona Cardinals","2016","Active",1,"Healthy","None"
"Evan Mathis","Arizona Cardinals","2016","Active",1,"Healthy","None"
"Josh Mauro","Arizona Cardinals","2016","Active",1,"Healthy","None"
"Ifeanyi Momah","Arizona Cardinals","2016","Active",1,"Healthy","None"
"Sio Moore","Arizona Cardinals","2016","Out",1,"Questionable"," Hamstring"
"JJ Nelson","Arizona Cardinals","2016","Active",1,"Healthy","None"
"Troy Niklas","Arizona Cardinals","2016","Active",1,"Healthy","None"
"Robert Nkemdiche","Arizona Cardinals","2016","Active",1,"Healthy","None"
"Tristan Okpalaugo","Arizona Cardinals","2016","Out",1,"Injured Reserve"," Hamstring"
"Carson Palmer","Arizona Cardinals","2016","Active",1,"Healthy","None"
"Corey Peters","Arizona Cardinals","2016","Active",1,"Healthy","None"
"Frostee Rucker","Arizona Cardinals","2016","Active",1,"Healthy","None"
"Ed Stinson ","Arizona Cardinals","2016","Active",1,"Healthy","None"
"Stepfan Taylor","Arizona Cardinals","2016","Out",1,"Questionable"," Knee"
"Jared Veldheer","Arizona Cardinals","2016","Active",1,"Healthy","None"
"Brandon Williams","Arizona Cardinals","2016","Active",1,"Healthy","None"
